,data_values
160,0.0059111095
161,0.0061665536
162,0.0064238124
163,0.006683491
164,0.00694597
165,0.007211401
166,0.0074796947
167,0.007750543
168,0.008023467
169,0.008297836
170,0.0085729165
171,0.008847975
172,0.009122285
173,0.009395159
174,0.009666016
175,0.009934359
176,0.010199791
177,0.010461991
178,0.01072067
179,0.010975555
180,0.0112263085
181,0.011472515
182,0.011713636
183,0.011948962
184,0.0121776145
185,0.012398538
186,0.012610545
187,0.012812344
188,0.013002608
189,0.013180056
190,0.013343534
191,0.013492104
192,0.01362512
193,0.013742309
194,0.013843807
195,0.0139301615
196,0.01400234
197,0.014061698
198,0.014109879
199,0.014148743
200,0.014180218
201,0.014206183
202,0.014228325
203,0.014247992
204,0.014266063
205,0.014282852
206,0.014298035
207,0.014310626
208,0.014318975
209,0.014320818
210,0.014313384
211,0.01429351
212,0.014257835
213,0.014202912
214,0.01412546
215,0.014022517
216,0.013891604
217,0.013730876
218,0.013539213
219,0.013316302
220,0.013062601
221,0.012779348
222,0.012468454
223,0.0121323755
224,0.01177392
225,0.011396102
226,0.011001904
227,0.010594102
228,0.010175044
229,0.009746525
230,0.009309634
231,0.008864673
232,0.00841117
233,0.007947843
234,0.0074726944
235,0.0069831437
236,0.0064761704
237,0.005948488
238,0.0053967605
239,0.004817801
240,0.0042087575
241,0.0035672998
242,0.0028917482
243,0.0021811759
244,0.0014354659
245,0.000655307
246,-0.00015784215
247,-0.0010018464
248,-0.0018740162
249,-0.0027712644
250,-0.0036902828
251,-0.004627713
252,-0.0055803293
253,-0.0065451995
254,-0.0075198133
255,-0.00850219
256,-0.009490939
257,-0.010485286
258,-0.011485063
259,-0.012490631
260,-0.013502829
261,-0.014522833
262,-0.015552058
263,-0.016591994
264,-0.01764412
265,-0.01870975
266,-0.019789953
267,-0.0208855
268,-0.021996785
269,-0.023123868
270,-0.024266418
271,-0.02542386
272,-0.02659531
273,-0.02777979
274,-0.028976234
275,-0.030183574
276,-0.03140085
277,-0.03262723
278,-0.033862073
279,-0.03510498
280,-0.036355622
281,-0.03761391
282,-0.038879775
283,-0.04015317
284,-0.04143392
285,-0.042721704
286,-0.044015832
287,-0.04531529
288,-0.046618607
289,-0.047923874
290,-0.049228683
291,-0.05053018
292,-0.05182511
293,-0.053110037
294,-0.054381203
295,-0.055634882
296,-0.056867506
297,-0.058075733
298,-0.059256587
299,-0.060407743
300,-0.061527435
301,-0.062614635
302,-0.06366916
303,-0.06469137
304,-0.06568249
305,-0.06664426
306,-0.067579016
307,-0.0684892
308,-0.069377564
309,-0.07024684
310,-0.07109934
311,-0.07193718
312,-0.07276185
313,-0.073574126
314,-0.07437396
315,-0.07516057
316,-0.07593235
317,-0.07668673
318,-0.07742071
319,-0.07813038
320,-0.07881157
321,-0.07945977
322,-0.080070324
323,-0.08063873
324,-0.081160754
325,-0.0816325
326,-0.08205078
327,-0.0824129
328,-0.08271713
329,-0.082962416
330,-0.0831485
331,-0.083275914
332,-0.08334613
333,-0.08336103
334,-0.08332308
335,-0.08323535
336,-0.08310103
337,-0.08292367
338,-0.08270673
339,-0.08245394
340,-0.08216862
341,-0.081854194
342,-0.08151374
343,-0.08115014
344,-0.08076606
345,-0.08036381
346,-0.07994565
347,-0.07951335
348,-0.079068676
349,-0.07861322
350,-0.07814817
351,-0.077674575
352,-0.077193655
353,-0.07670604
354,-0.076212324
355,-0.075713016
356,-0.07520816
357,-0.07469766
358,-0.07418119
359,-0.07365803
360,-0.073127285
361,-0.07258774
362,-0.07203805
363,-0.071476586
364,-0.07090159
365,-0.07031131
366,-0.069703914
367,-0.0690777
368,-0.06843104
369,-0.06776271
370,-0.06707157
371,-0.06635707
372,-0.06561893
373,-0.06485734
374,-0.06407299
375,-0.063266926
376,-0.06244063
377,-0.06159584
378,-0.060734555
379,-0.059858978
380,-0.0589713
381,-0.058073647
382,-0.057168096
383,-0.0562564
384,-0.055339966
385,-0.054419797
386,-0.05349641
387,-0.0525698
388,-0.051639386
389,-0.05070419
390,-0.049762614
391,-0.0488127
392,-0.047852155
393,-0.046878364
394,-0.04588854
395,-0.044879794
396,-0.043849245
397,-0.0427941
398,-0.041711703
399,-0.04059966
400,-0.039455865
401,-0.038278397
402,-0.037065804
403,-0.035816833
404,-0.034530528
405,-0.033206172
406,-0.03184308
407,-0.030440744
408,-0.028998619
409,-0.027516099
410,-0.025992356
411,-0.024426386
412,-0.022816932
413,-0.021162424
414,-0.019460922
415,-0.017710153
416,-0.015907578
417,-0.0140503105
418,-0.01213529
419,-0.010159286
420,-0.008118986
421,-0.00601112
422,-0.0038326045
423,-0.0015805383
424,0.000747643
425,0.003154085
426,0.0056404476
427,0.0082078315
428,0.010856736
429,0.013587037
430,0.016397981
431,0.019288184
432,0.022255624
433,0.025297696
434,0.028411362
435,0.031593066
436,0.034838915
437,0.03814474
438,0.041506108
439,0.04491852
440,0.048377287
441,0.05187787
442,0.055415615
443,0.058985963
444,0.06258456
445,0.066207
446,0.06984919
447,0.07350697
448,0.07717641
449,0.080853544
450,0.0845344
451,0.08821514
452,0.09189169
453,0.0955598
454,0.09921526
455,0.10285355
456,0.10646988
457,0.11005926
458,0.11361622
459,0.11713529
460,0.12061043
461,0.12403545
462,0.12740386
463,0.13070874
464,0.13394333
465,0.13710052
466,0.14017306
467,0.14315407
468,0.1460362
469,0.14881268
470,0.15147685
471,0.15402238
472,0.15644315
473,0.15873373
474,0.16088888
475,0.16290385
476,0.16477492
477,0.16649804
478,0.1680704
479,0.1694893
480,0.17075238
481,0.17185774
482,0.17280395
483,0.17358962
484,0.17421336
485,0.17467424
486,0.17497107
487,0.17510284
488,0.17506844
489,0.17486674
490,0.17449638
491,0.17395635
492,0.17324524
493,0.17236198
494,0.17130543
495,0.1700748
496,0.16866922
497,0.16708863
498,0.16533293
499,0.16340265
500,0.16129875
501,0.15902269
502,0.1565763
503,0.15396236
504,0.15118365
505,0.14824373
506,0.14514637
507,0.14189567
508,0.13849624
509,0.13495275
510,0.1312701
511,0.1274532
512,0.12350741
513,0.11943777
514,0.11524971
515,0.11094858
516,0.106539935
517,0.102029294
518,0.097422644
519,0.09272596
520,0.087945566
521,0.08308792
522,0.078160055
523,0.073169075
524,0.06812231
525,0.06302756
526,0.057892676
527,0.05272562
528,0.047534402
529,0.042326998
530,0.037111163
531,0.03189441
532,0.02668387
533,0.021486266
534,0.016307727
535,0.01115383
536,0.0060295514
537,0.0009392463
538,-0.0041133426
539,-0.00912502
540,-0.014093099
541,-0.019015314
542,-0.023889728
543,-0.028714655
544,-0.03348856
545,-0.03820998
546,-0.042877454
547,-0.047489457
548,-0.052044373
549,-0.05654041
550,-0.06097572
551,-0.065348275
552,-0.06965594
553,-0.07389662
554,-0.07806801
555,-0.082168184
556,-0.08619511
557,-0.09014694
558,-0.094022095
559,-0.09781927
560,-0.10153736
561,-0.105175674
562,-0.10873371
563,-0.11221138
564,-0.11560868
565,-0.11892612
566,-0.12216431
567,-0.12532404
568,-0.12840652
569,-0.1314127
570,-0.13434422
571,-0.13720237
572,-0.13998872
573,-0.14270502
574,-0.14535303
575,-0.14793444
576,-0.15045106
577,-0.15290478
578,-0.15529738
579,-0.15763053
580,-0.15990593
581,-0.16212492
582,-0.16428873
583,-0.16639845
584,-0.16845472
585,-0.17045785
586,-0.17240801
587,-0.17430481
588,-0.1761478
589,-0.17793605
590,-0.17966866
591,-0.1813445
592,-0.18296248
593,-0.18452133
594,-0.18602027
595,-0.18745875
596,-0.18883638
597,-0.19015332
598,-0.19141044
599,-0.19260879
600,-0.19375004
601,-0.19483642
602,-0.19587016
603,-0.19685405
604,-0.19779094
605,-0.19868356
606,-0.19953449
607,-0.20034596
608,-0.20111988
609,-0.20185733
610,-0.2025587
611,-0.2032241
612,-0.20385216
613,-0.2044414
614,-0.20498934
615,-0.20549323
616,-0.2059498
617,-0.20635556
618,-0.20670724
619,-0.2070013
620,-0.20723502
621,-0.20740594
622,-0.2075122
623,-0.20755255
624,-0.20752673
625,-0.20743504
626,-0.20727852
627,-0.2070587
628,-0.20677778
629,-0.20643815
630,-0.20604241
631,-0.20559312
632,-0.20509258
633,-0.20454298
634,-0.2039456
635,-0.2033019
636,-0.2026124
637,-0.20187718
638,-0.20109585
639,-0.20026767
640,-0.19939183
641,-0.19846712
642,-0.19749233
643,-0.19646691
644,-0.19538987
645,-0.19426118
646,-0.19308111
647,-0.19185038
648,-0.19057025
649,-0.18924244
650,-0.18786895
651,-0.18645215
652,-0.18499422
653,-0.18349738
654,-0.18196389
655,-0.18039513
656,-0.1787925
657,-0.17715642
658,-0.17548709
659,-0.1737837
660,-0.17204499
661,-0.17026936
662,-0.16845472
663,-0.16659825
664,-0.16469769
665,-0.16275047
666,-0.16075443
667,-0.15870756
668,-0.15660867
669,-0.15445682
670,-0.15225185
671,-0.14999431
672,-0.14768516
673,-0.14532591
674,-0.14291888
675,-0.1404662
676,-0.13797045
677,-0.13543436
678,-0.13286051
679,-0.13025127
680,-0.12760937
681,-0.12493648
682,-0.12223483
683,-0.11950605
684,-0.11675196
685,-0.1139742
686,-0.11117483
687,-0.108356096
688,-0.10552055
689,-0.102671444
690,-0.09981258
691,-0.09694837
692,-0.09408377
693,-0.091224454
694,-0.088376455
695,-0.08554624
696,-0.082740515
697,-0.07996581
698,-0.07722862
699,-0.07453489
700,-0.071890175
701,-0.069299065
702,-0.06676535
703,-0.064292006
704,-0.06188095
705,-0.05953329
706,-0.0572493
707,-0.055028655
708,-0.05287053
709,-0.050773926
710,-0.048737846
711,-0.04676143
712,-0.04484423
713,-0.04298641
714,-0.041188795
715,-0.03945305
716,-0.037781566
717,-0.036177415
718,-0.03464436
719,-0.03318655
720,-0.03180834
721,-0.030514108
722,-0.02930786
723,-0.028193038
724,-0.027172329
725,-0.02624729
726,-0.025418354
727,-0.024684539
728,-0.024043472
729,-0.02349139
730,-0.02302314
731,-0.022632364
732,-0.02231154
733,-0.022052329
734,-0.021845696
735,-0.021682214
736,-0.021552216
737,-0.021446113
738,-0.021354496
739,-0.021268329
740,-0.02117904
741,-0.02107863
742,-0.020959558
743,-0.020814875
744,-0.020638095
745,-0.02042312
746,-0.02016411
747,-0.019855443
748,-0.019491598
749,-0.019066991
750,-0.018576052
751,-0.018013045
752,-0.017372144
753,-0.016647423
754,-0.015832927
755,-0.014922693
756,-0.013910908
757,-0.012791941
758,-0.011560443
759,-0.0102114305
760,-0.0087403795
761,-0.0071431855
762,-0.0054162336
763,-0.00355635
764,-0.001560762
765,0.00057297235
766,0.0028470722
767,0.005263623
768,0.007824705
769,0.0105324825
770,0.013389293
771,0.016397728
772,0.019560635
773,0.022881165
774,0.026362695
775,0.030008735
776,0.03382287
777,0.037808564
778,0.041969102
779,0.04630722
780,0.050825104
781,0.055524226
782,0.06040499
783,0.06546693
784,0.070708334
785,0.076126255
786,0.081716776
787,0.08747473
788,0.09339392
789,0.09946722
790,0.105686866
791,0.11204437
792,0.118530884
793,0.12513737
794,0.13185458
795,0.13867384
796,0.14558612
797,0.152583
798,0.15965642
799,0.16679873
800,0.17400259
801,0.18126087
802,0.18856706
803,0.19591433
804,0.20329596
805,0.21070555
806,0.21813606
807,0.22558029
808,0.23303081
809,0.2404798
810,0.24791871
811,0.2553391
812,0.26273167
813,0.2700871
814,0.27739552
815,0.28464776
816,0.29183313
817,0.2989426
818,0.3059664
819,0.31289536
820,0.3197204
821,0.3264332
822,0.33302563
823,0.33949003
824,0.34581962
825,0.35200727
826,0.35804725
827,0.36393332
828,0.36966038
829,0.37522313
830,0.38061678
831,0.38583648
832,0.39087826
833,0.39573768
834,0.40041113
835,0.40489474
836,0.40918577
837,0.413281
838,0.4171782
839,0.4208754
840,0.4243716
841,0.42766577
842,0.43075848
843,0.43365002
844,0.43634206
845,0.43883672
846,0.4411372
847,0.44324675
848,0.44516984
849,0.44691148
850,0.44847652
851,0.44987094
852,0.45110118
853,0.45217255
854,0.45309216
855,0.45386603
856,0.45450088
857,0.45500258
858,0.45537725
859,0.45563093
860,0.45576876
861,0.45579672
862,0.45571935
863,0.45554185
864,0.4552687
865,0.45490426
866,0.45445308
867,0.45391923
868,0.45330715
869,0.4526213
870,0.45186594
871,0.45104566
872,0.45016533
873,0.44923
874,0.4482447
875,0.44721535
876,0.4461473
877,0.44504687
878,0.4439197
879,0.44277224
880,0.44161043
881,0.44044036
882,0.43926743
883,0.4380979
884,0.4369351
885,0.43578464
886,0.43464932
887,0.43353248
888,0.4324353
889,0.43135896
890,0.4303034
891,0.42926776
892,0.4282493
893,0.4272456
894,0.42625254
895,0.42526543
896,0.42427903
897,0.42328757
898,0.42228457
899,0.42126393
900,0.42021888
901,0.41914213
902,0.41802827
903,0.41687024
904,0.41566196
905,0.4143982
906,0.41307303
907,0.41168174
908,0.41021922
909,0.40868148
910,0.40706423
911,0.40536347
912,0.40357527
913,0.40169612
914,0.39972207
915,0.39764968
916,0.39547524
917,0.39319474
918,0.39080468
919,0.3883012
920,0.38568047
921,0.38293868
922,0.38007212
923,0.37707752
924,0.37395117
925,0.37069002
926,0.36729133
927,0.36375237
928,0.36007085
929,0.3562448
930,0.35227263
931,0.34815308
932,0.3438848
933,0.33946753
934,0.33490023
935,0.33018297
936,0.32531562
937,0.32029843
938,0.31513175
939,0.3098166
940,0.30435368
941,0.29874453
942,0.29299077
943,0.28709477
944,0.28105932
945,0.27488753
946,0.2685832
947,0.26215094
948,0.2555956
949,0.24892342
950,0.24214067
951,0.23525427
952,0.22827205
953,0.22120179
954,0.21405205
955,0.2068316
956,0.19954929
957,0.19221412
958,0.18483512
959,0.17742118
960,0.16998096
961,0.16252303
962,0.15505533
963,0.14758584
964,0.14012203
965,0.13267125
966,0.12524049
967,0.117836446
968,0.11046602
969,0.10313579
970,0.09585247
971,0.088622876
972,0.08145378
973,0.07435236
974,0.06732579
975,0.06038157
976,0.053527217
977,0.04677052
978,0.04011924
979,0.03358114
980,0.027163796
981,0.020874636
982,0.014720611
983,0.00870825
984,0.0028434945
985,-0.0028683874
986,-0.0084229065
987,-0.013816401
988,-0.019046087
989,-0.024110109
990,-0.02900746
991,-0.033738054
992,-0.03830268
993,-0.04270291
994,-0.04694094
995,-0.051019724
996,-0.054942586
997,-0.0587134
998,-0.06233636
999,-0.065815866
1000,-0.06915656
1001,-0.07236309
1002,-0.07544035
1003,-0.07839307
1004,-0.08122621
1005,-0.083944544
1006,-0.08655304
1007,-0.089056656
1008,-0.09146057
1009,-0.09376991
1010,-0.09599026
1011,-0.09812734
1012,-0.10018725
1013,-0.10217642
1014,-0.10410186
1015,-0.10597078
1016,-0.10779093
1017,-0.10957057
1018,-0.11131825
1019,-0.113042966
1020,-0.11475399
1021,-0.11646087
1022,-0.1181734
1023,-0.1199013
1024,-0.121654265
1025,-0.123442054
1026,-0.12527405
1027,-0.12715945
1028,-0.1291069
1029,-0.1311248
1030,-0.13322097
1031,-0.13540253
1032,-0.13767615
1033,-0.14004806
1034,-0.14252353
1035,-0.14510767
1036,-0.14780495
1037,-0.1506192
1038,-0.15355393
1039,-0.15661232
1040,-0.15979712
1041,-0.16311096
1042,-0.16655603
1043,-0.17013472
1044,-0.17384876
1045,-0.17770001
1046,-0.18169022
1047,-0.18582109
1048,-0.19009374
1049,-0.19450961
1050,-0.19906956
1051,-0.20377427
1052,-0.20862433
1053,-0.21361944
1054,-0.2187596
1055,-0.22404367
1056,-0.22947018
1057,-0.23503743
1058,-0.24074274
1059,-0.24658303
1060,-0.25255442
1061,-0.25865263
1062,-0.2648729
1063,-0.27120942
1064,-0.27765593
1065,-0.28420585
1066,-0.29085198
1067,-0.29758683
1068,-0.30440193
1069,-0.3112893
1070,-0.31823987
1071,-0.32524467
1072,-0.33229476
1073,-0.33938017
1074,-0.3464921
1075,-0.35362056
1076,-0.36075637
1077,-0.36788976
1078,-0.37501127
1079,-0.38211173
1080,-0.38918203
1081,-0.39621332
1082,-0.40319645
1083,-0.41012332
1084,-0.41698557
1085,-0.42377535
1086,-0.43048453
1087,-0.43710625
1088,-0.4436332
1089,-0.45005852
1090,-0.45637602
1091,-0.46257952
1092,-0.4686632
1093,-0.47462147
1094,-0.48044956
1095,-0.4861424
1096,-0.49169546
1097,-0.49710414
1098,-0.50236523
1099,-0.5074744
1100,-0.51242816
1101,-0.5172236
1102,-0.52185774
1103,-0.5263271
1104,-0.5306299
1105,-0.5347622
1106,-0.5387228
1107,-0.5425086
1108,-0.54611766
1109,-0.5495477
1110,-0.5527968
1111,-0.5558633
1112,-0.5587447
1113,-0.5614401
1114,-0.56394833
1115,-0.5662678
1116,-0.5683991
1117,-0.57034063
1118,-0.5720937
1119,-0.57365924
1120,-0.5750386
1121,-0.5762343
1122,-0.5772498
1123,-0.57808816
1124,-0.5787544
1125,-0.57925355
1126,-0.57959247
1127,-0.5797765
1128,-0.5798143
1129,-0.57971233
1130,-0.5794793
1131,-0.5791229
1132,-0.57865256
1133,-0.5780753
1134,-0.5773994
1135,-0.57663256
1136,-0.57578236
1137,-0.5748555
1138,-0.5738577
1139,-0.57279575
1140,-0.5716732
1141,-0.570495
1142,-0.56926525
1143,-0.5679871
1144,-0.56666285
1145,-0.5652958
1146,-0.56388736
1147,-0.56244034
1148,-0.5609557
1149,-0.55943596
1150,-0.5578831
1151,-0.5562985
1152,-0.55468494
1153,-0.5530442
1154,-0.55137926
1155,-0.54969156
1156,-0.54798436
1157,-0.54626054
1158,-0.5445214
1159,-0.5427707
1160,-0.5410093
1161,-0.5392403
1162,-0.5374644
1163,-0.5356831
1164,-0.5338972
1165,-0.532107
1166,-0.5303126
1167,-0.528513
1168,-0.5267072
1169,-0.5248934
1170,-0.5230695
1171,-0.5212336
1172,-0.5193816
1173,-0.517511
1174,-0.5156168
1175,-0.51369554
1176,-0.51174206
1177,-0.5097515
1178,-0.5077183
1179,-0.50563735
1180,-0.5035022
1181,-0.5013077
1182,-0.49904698
1183,-0.49671397
1184,-0.49430278
1185,-0.49180692
1186,-0.4892206
1187,-0.4865379
1188,-0.48375356
1189,-0.48086253
1190,-0.4778598
1191,-0.47474194
1192,-0.47150436
1193,-0.46814463
1194,-0.46466
1195,-0.46104804
1196,-0.45730785
1197,-0.45343763
1198,-0.44943723
1199,-0.44530562
1200,-0.44104308
1201,-0.43664894
1202,-0.4321238
1203,-0.4274673
1204,-0.42267957
1205,-0.41776073
1206,-0.4127104
1207,-0.40752837
1208,-0.40221456
1209,-0.39676845
1210,-0.39119032
1211,-0.38547978
1212,-0.3796374
1213,-0.37366363
1214,-0.36755952
1215,-0.3613264
1216,-0.35496625
1217,-0.34848154
1218,-0.34187558
1219,-0.33515188
1220,-0.3283151
1221,-0.3213694
1222,-0.31432053
1223,-0.30717355
1224,-0.29993445
1225,-0.29260907
1226,-0.2852035
1227,-0.27772313
1228,-0.2701739
1229,-0.26256126
1230,-0.25489026
1231,-0.24716574
1232,-0.23939236
1233,-0.23157425
1234,-0.22371548
1235,-0.21581994
1236,-0.20789145
1237,-0.19993386
1238,-0.19195093
1239,-0.18394706
1240,-0.17592637
1241,-0.16789378
1242,-0.15985417
1243,-0.15181331
1244,-0.1437768
1245,-0.13575087
1246,-0.127742
1247,-0.119756795
1248,-0.11180201
1249,-0.1038843
1250,-0.09601015
1251,-0.08818592
1252,-0.080417424
1253,-0.07270998
1254,-0.065068446
1255,-0.05749692
1256,-0.049999032
1257,-0.042577628
1258,-0.03523493
1259,-0.027972631
1260,-0.020791953
1261,-0.013693671
1262,-0.006678313
1263,0.00025379512
1264,0.0071023577
1265,0.013867059
1266,0.020547437
1267,0.02714284
1268,0.033652354
1269,0.04007484
1270,0.046408817
1271,0.052652705
1272,0.058804695
1273,0.064862914
1274,0.07082553
1275,0.07669091
1276,0.08245761
1277,0.08812453
1278,0.09369117
1279,0.09915749
1280,0.10452414
1281,0.10979232
1282,0.114964046
1283,0.12004202
1284,0.1250293
1285,0.12992989
1286,0.13474779
1287,0.13948786
1288,0.14415485
1289,0.14875361
1290,0.15328914
1291,0.1577665
1292,0.16219002
1293,0.1665641
1294,0.17089282
1295,0.17517969
1296,0.17942792
1297,0.18364029
1298,0.1878193
1299,0.19196688
1300,0.19608496
1301,0.2001752
1302,0.20423892
1303,0.2082775
1304,0.21229246
1305,0.21628489
1306,0.22025625
1307,0.2242077
1308,0.22814079
1309,0.23205681
1310,0.23595731
1311,0.23984326
1312,0.24371612
1313,0.24757673
1314,0.25142607
1315,0.2552649
1316,0.2590937
1317,0.26291278
1318,0.26672208
1319,0.2705218
1320,0.27431187
1321,0.278092
1322,0.28186193
1323,0.28562185
1324,0.28937143
1325,0.29311094
1326,0.29684064
1327,0.30056104
1328,0.3042727
1329,0.3079763
1330,0.31167275
1331,0.31536254
1332,0.3190463
1333,0.3227245
1334,0.32639706
1335,0.3300634
1336,0.33372247
1337,0.33737305
1338,0.3410127
1339,0.34463853
1340,0.3482469
1341,0.35183418
1342,0.35539544
1343,0.35892588
1344,0.3624203
1345,0.3658736
1346,0.36928043
1347,0.37263644
1348,0.37593693
1349,0.37917826
1350,0.3823573
1351,0.38547185
1352,0.38852018
1353,0.39150178
1354,0.39441627
1355,0.39726442
1356,0.40004697
1357,0.40276533
1358,0.40542126
1359,0.4080158
1360,0.41055015
1361,0.41302505
1362,0.41544077
1363,0.41779637
1364,0.4200906
1365,0.42232123
1366,0.42448577
1367,0.42658013
1368,0.42860058
1369,0.43054232
1370,0.43240085
1371,0.43417117
1372,0.43584868
1373,0.43742967
1374,0.4389098
1375,0.4402867
1376,0.441558
1377,0.44272265
1378,0.44378024
1379,0.44473186
1380,0.4455786
1381,0.44632295
1382,0.44696772
1383,0.447516
1384,0.44797087
1385,0.4483363
1386,0.44861507
1387,0.4488101
1388,0.44892392
1389,0.4489583
1390,0.44891432
1391,0.44879234
1392,0.4485925
1393,0.4483137
1394,0.44795516
1395,0.44751513
1396,0.44699186
1397,0.44638374
1398,0.44568887
1399,0.44490603
1400,0.44403434
1401,0.44307318
1402,0.442023
1403,0.44088396
1404,0.4396579
1405,0.43834624
1406,0.43695164
1407,0.43547663
1408,0.43392467
1409,0.43229866
1410,0.4306022
1411,0.42883828
1412,0.42700994
1413,0.42512012
1414,0.4231709
1415,0.4211646
1416,0.4191026
1417,0.41698587
1418,0.4148156
1419,0.4125923
1420,0.41031593
1421,0.4079872
1422,0.40560606
1423,0.40317282
1424,0.4006877
1425,0.39815146
1426,0.39556506
1427,0.39292958
1428,0.39024663
1429,0.38751817
1430,0.38474625
1431,0.3819333
1432,0.37908116
1433,0.3761931
1434,0.37327072
1435,0.37031683
1436,0.3673329
1437,0.36432073
1438,0.36128178
1439,0.35821655
1440,0.35512534
1441,0.3520085
1442,0.348865
1443,0.3456943
1444,0.34249505
1445,0.33926612
1446,0.33600602
1447,0.33271357
1448,0.32938734
1449,0.32602668
1450,0.32263088
1451,0.3192
1452,0.31573418
1453,0.3122348
1454,0.30870277
1455,0.30514044
1456,0.30154997
1457,0.29793417
1458,0.2942963
1459,0.29063937
1460,0.28696653
1461,0.28328127
1462,0.27958605
1463,0.27588353
1464,0.27217585
1465,0.26846448
1466,0.26475057
1467,0.26103422
1468,0.2573152
1469,0.25359276
1470,0.24986567
1471,0.24613212
1472,0.24239025
1473,0.23863815
1474,0.23487368
1475,0.23109514
1476,0.22730078
1477,0.22348979
1478,0.21966147
1479,0.21581613
1480,0.21195419
1481,0.20807725
1482,0.2041872
1483,0.20028645
1484,0.19637808
1485,0.1924651
1486,0.18855104
1487,0.18463917
1488,0.18073277
1489,0.17683461
1490,0.1729472
1491,0.1690725
1492,0.16521183
1493,0.1613656
1494,0.15753412
1495,0.15371676
1496,0.14991234
1497,0.14611961
1498,0.14233653
1499,0.13856155
1500,0.13479288
1501,0.13102905
1502,0.12726887
1503,0.12351171
1504,0.11975764
1505,0.11600726
1506,0.11226192
1507,0.10852361
1508,0.10479483
1509,0.1010787
1510,0.09737853
1511,0.09369804
1512,0.09004075
1513,0.08641016
1514,0.08280939
1515,0.079241216
1516,0.075707726
1517,0.072210446
1518,0.06875012
1519,0.0653268
1520,0.061940078
1521,0.058588684
1522,0.05527119
1523,0.05198577
1524,0.04873044
1525,0.04550333
1526,0.042302858
1527,0.039127737
1528,0.035977267
1529,0.03285138
1530,0.029750653
1531,0.026676448
1532,0.023630774
1533,0.020616293
1534,0.017636156
1535,0.014693895
1536,0.011793223
1537,0.008937911
1538,0.0061315084
1539,0.003377251
1540,0.000677845
1541,-0.0019646692
1542,-0.004548998
1543,-0.0070746625
1544,-0.009542038
1545,-0.0119523555
1546,-0.014307569
1547,-0.01661033
1548,-0.01886381
1549,-0.021071557
1550,-0.023237327
1551,-0.025364887
1552,-0.027457852
1553,-0.029519506
1554,-0.0315527
1555,-0.03355974
1556,-0.03554223
1557,-0.037501186
1558,-0.039436836
1559,-0.0413488
1560,-0.043236095
