dist_to_mrt_m,n_convenience,house_age_years,price_twd_msq
2185.128,3,15 to 30,7.745839636913664
552.4371,2,30 to 45,9.016641452344812
1414.837,1,15 to 30,8.01815431164891
533.4762,4,0 to 15,12.19364599092268
377.7956,6,30 to 45,11.134644478063391
150.9347,7,0 to 15,14.553706505294814
2707.392,3,15 to 30,5.355521936459837
383.2805,7,15 to 30,13.222390317700278
338.9679,9,0 to 15,15.37065052950055
1455.798,1,0 to 15,8.16944024205738
4066.587,0,15 to 30,5.537065052950002
1406.43,0,0 to 15,14.52344931921312
3947.945,0,15 to 30,7.655068078668582
274.0144,1,0 to 15,13.736762481089075
1402.016,0,0 to 15,13.071104387291808
2469.645,4,15 to 30,6.596066565809292
1146.329,0,30 to 45,4.8714069591527345
167.5989,5,30 to 45,12.40544629349454
104.8101,5,0 to 15,15.673222390317491
90.45606,9,0 to 15,18.00302571860793
617.4424,3,15 to 30,10.468986384266124
289.3248,5,15 to 30,15.431164901663939
90.45606,9,0 to 15,18.81996974281367
964.7496,4,15 to 30,11.558245083207108
170.1289,1,0 to 15,9.954614220877325
193.5845,6,0 to 15,16.459909228441536
208.3905,6,0 to 15,13.827534039334159
392.4459,6,30 to 45,9.22844175491667
292.9978,6,0 to 15,21.482602118002738
189.5181,8,15 to 30,14.251134644477874
1360.139,1,0 to 15,8.048411497730605
592.5006,2,30 to 45,10.317700453857654
2147.376,3,0 to 15,8.593040847201095
104.8101,5,0 to 15,15.612708018154104
196.6172,7,30 to 45,11.921331316187436
2102.427,3,0 to 15,6.9894099848713145
393.2606,6,0 to 15,2.2995461422087438
143.8383,8,30 to 45,16.1270801815429
737.9161,2,15 to 30,14.039334341906015
6396.283,1,30 to 45,3.6913767019666675
4197.349,0,0 to 15,3.9334341906202197
1583.722,3,15 to 30,9.258698940998364
289.3248,5,15 to 30,18.033282904689624
492.2313,5,0 to 15,9.470499243570222
492.2313,5,0 to 15,14.52344931921312
414.9476,4,30 to 45,9.83358547655055
185.4296,0,0 to 15,13.76701966717077
279.1726,7,0 to 15,17.367624810892355
193.5845,6,0 to 15,14.704992435703284
804.6897,4,30 to 45,19.031770045385525
383.8624,5,0 to 15,16.6414523449317
124.9912,6,30 to 45,18.36611195158826
216.8329,7,30 to 45,12.40544629349454
535.527,8,15 to 30,11.346444780635249
2147.376,3,0 to 15,9.288956127080057
482.7581,5,15 to 30,11.346444780635249
373.3937,8,15 to 30,11.951588502269129
186.9686,6,30 to 45,12.768532526474868
1009.235,0,15 to 30,6.2934947049923515
390.5684,5,0 to 15,14.16036308623279
319.0708,6,0 to 15,14.341906202722955
942.4664,0,0 to 15,13.16187594553689
492.2313,5,0 to 15,12.85930408471995
289.3248,5,15 to 30,15.552193645990714
1559.827,3,0 to 15,8.744326777609565
640.6071,5,15 to 30,11.346444780635249
492.2313,5,0 to 15,12.133131618759293
1360.139,1,0 to 15,8.593040847201095
451.2438,5,0 to 15,13.76701966717077
185.4296,0,0 to 15,15.794251134644268
489.8821,8,0 to 15,13.071104387291808
3780.59,0,15 to 30,13.645990922843994
179.4538,8,30 to 45,12.012102874432518
170.7311,7,30 to 45,14.67473524962159
387.7721,9,0 to 15,13.524962178517217
1360.139,1,0 to 15,8.744326777609565
376.1709,6,0 to 15,12.375189107412846
4066.587,0,15 to 30,6.263237518910658
4082.015,0,0 to 15,4.720121028744264
1264.73,0,30 to 45,5.537065052950002
815.9314,4,15 to 30,10.771558245083064
390.5684,5,0 to 15,11.921331316187436
815.9314,4,15 to 30,11.316187594553554
49.66105,8,0 to 15,17.48865355521913
616.4004,3,15 to 30,11.981845688350823
4066.587,0,15 to 30,3.5098335854765037
104.8101,5,0 to 15,16.79273827534017
185.4296,0,0 to 15,16.70196671709509
1236.564,1,0 to 15,9.258698940998364
292.9978,6,0 to 15,22.269288956126783
330.0854,8,15 to 30,13.131618759455195
515.1122,5,15 to 30,11.316187594553554
1962.628,1,0 to 15,7.11043872919809
4527.687,0,15 to 30,4.357034795763936
383.8624,5,0 to 15,17.79122541603607
90.45606,9,0 to 15,17.579425113464215
401.8807,4,30 to 45,10.620272314674594
432.0385,7,0 to 15,13.676248108925689
472.1745,3,30 to 45,11.043872919818309
4573.779,0,0 to 15,5.809379727685248
181.0766,9,30 to 45,12.70801815431148
1144.436,4,0 to 15,11.104387291981698
438.8513,1,0 to 15,12.889561270801645
4449.27,0,15 to 30,4.68986384266257
201.8939,8,0 to 15,16.913767019666945
2147.376,3,0 to 15,7.140695915279784
4082.015,0,15 to 30,5.688350983358472
2615.465,0,0 to 15,6.596066565809292
1447.286,3,30 to 45,6.50529500756421
2185.128,3,15 to 30,7.776096822995357
3078.176,0,0 to 15,6.65658093797268
190.0392,8,30 to 45,13.40393343419044
4066.587,0,15 to 30,6.20272314674727
616.5735,8,30 to 45,12.79878971255656
750.0704,2,0 to 15,11.437216338880331
57.58945,7,30 to 45,12.919818456883338
421.479,5,0 to 15,14.91679273827514
3771.895,0,15 to 30,8.865355521936342
461.1016,5,15 to 30,10.468986384266124
707.9067,2,15 to 30,11.074130105900004
126.7286,8,30 to 45,14.583963691376509
157.6052,7,30 to 45,11.830559757942353
451.6419,8,15 to 30,9.561270801815304
995.7554,0,15 to 30,7.7155824508319695
561.9845,5,0 to 15,13.888048411497545
642.6985,3,30 to 45,9.53101361573361
289.3248,5,15 to 30,13.948562783660934
1414.837,1,15 to 30,8.048411497730605
1449.722,3,0 to 15,6.475037821482515
379.5575,10,15 to 30,13.31316187594536
665.0636,3,30 to 45,10.347957639939349
1360.139,1,0 to 15,7.927382753403827
175.6294,8,30 to 45,12.375189107412846
390.5684,5,0 to 15,15.794251134644268
274.0144,1,0 to 15,13.16187594553689
1805.665,2,15 to 30,9.409984871406834
90.45606,9,0 to 15,17.54916792738252
1783.18,3,15 to 30,6.323751891074045
383.7129,8,15 to 30,14.553706505294814
590.9292,1,30 to 45,12.012102874432518
372.6242,6,15 to 30,12.34493192133115
492.2313,5,0 to 15,13.25264750378197
529.7771,8,15 to 30,12.163388804840988
186.5101,9,30 to 45,23.6913767019664
1402.016,0,0 to 15,11.649016641452189
431.1114,10,30 to 45,14.67473524962159
1402.016,0,0 to 15,12.79878971255656
324.9419,6,30 to 45,13.91830559757924
193.5845,6,0 to 15,14.82602118003006
4082.015,0,15 to 30,3.872919818456832
265.0609,8,30 to 45,12.163388804840988
3171.329,0,0 to 15,14.099848714069404
1156.412,0,30 to 45,5.748865355521859
2147.376,3,0 to 15,10.105900151285795
4074.736,0,15 to 30,4.447806354009018
4412.765,1,15 to 30,5.264750378214755
333.3679,9,30 to 45,9.803328290468855
2216.612,4,0 to 15,7.231467473524865
250.631,7,0 to 15,11.891074130105741
373.8389,10,0 to 15,18.729198184568585
732.8528,0,0 to 15,11.800302571860659
732.8528,0,0 to 15,12.284417549167763
837.7233,0,15 to 30,8.986384266263117
1712.632,2,0 to 15,8.714069591527872
250.631,7,0 to 15,12.526475037821315
2077.39,3,0 to 15,10.105900151285795
204.1705,8,30 to 45,14.583963691376509
1559.827,3,0 to 15,6.565809379727598
639.6198,5,0 to 15,12.34493192133115
389.8219,6,15 to 30,12.284417549167763
1055.067,0,15 to 30,6.9894099848713145
1009.235,0,15 to 30,6.747352496217762
6306.153,1,15 to 30,4.5385779122541
424.7132,7,30 to 45,9.0771558245082
1159.454,0,30 to 45,4.175491679273772
90.45606,9,0 to 15,15.945537065052738
1735.595,2,30 to 45,7.836611195158746
329.9747,5,0 to 15,15.673222390317491
5512.038,1,30 to 45,5.264750378214755
339.2289,1,0 to 15,8.01815431164891
444.1334,1,15 to 30,13.282904689863665
292.9978,6,0 to 15,19.1527987897123
837.7233,0,15 to 30,8.714069591527872
1485.097,4,15 to 30,9.288956127080057
2288.011,3,15 to 30,7.382753403933335
289.3248,5,15 to 30,16.03630862329782
2147.376,3,0 to 15,9.591527987896997
493.657,7,30 to 45,12.284417549167763
815.9314,4,15 to 30,11.527987897125413
1783.18,3,15 to 30,7.170953101361477
482.7581,5,30 to 45,12.435703479576233
390.5684,5,15 to 30,12.133131618759293
837.7233,0,15 to 30,6.95915279878962
252.5822,1,0 to 15,35.55219364599045
451.6419,8,15 to 30,8.01815431164891
492.2313,5,0 to 15,12.25416036308607
170.1289,1,0 to 15,8.865355521936342
394.0173,7,15 to 30,12.40544629349454
23.38284,7,0 to 15,15.037821482601919
461.1016,5,15 to 30,10.28744326777596
2185.128,3,15 to 30,8.381240544629238
208.3905,6,0 to 15,13.31316187594536
1554.25,3,0 to 15,9.409984871406834
184.3302,6,0 to 15,13.736762481089075
387.7721,9,0 to 15,13.55521936459891
1455.798,1,0 to 15,7.745839636913664
1978.671,2,30 to 45,7.11043872919809
383.2805,7,15 to 30,10.408472012102735
718.2937,3,30 to 45,16.73222390317678
90.45606,9,0 to 15,17.03479576399372
461.1016,5,15 to 30,9.954614220877325
323.6912,6,15 to 30,15.431164901663939
289.3248,5,0 to 15,13.46444780635383
490.3446,0,30 to 45,11.195158850226779
56.47425,7,0 to 15,16.459909228441536
395.6747,5,15 to 30,7.41301059001503
383.2805,7,0 to 15,12.85930408471995
335.5273,6,15 to 30,11.527987897125413
2179.59,3,15 to 30,6.596066565809292
1144.436,4,0 to 15,10.317700453857654
567.0349,4,30 to 45,8.62329803328279
4082.015,0,15 to 30,5.052950075642897
121.7262,10,30 to 45,13.948562783660934
156.2442,4,0 to 15,11.164901664145084
461.7848,0,30 to 45,10.801815431164759
2288.011,3,15 to 30,7.019667170953007
439.7105,0,30 to 45,11.618759455370496
1626.083,3,15 to 30,8.895612708018035
289.3248,5,15 to 30,16.6414523449317
169.9803,1,0 to 15,15.189107413010388
3079.89,0,0 to 15,7.473524962178417
289.3248,5,15 to 30,16.03630862329782
1264.73,0,30 to 45,5.779122541603554
1643.499,2,15 to 30,7.473524962178417
537.7971,4,15 to 30,12.768532526474868
318.5292,9,30 to 45,23.600605143721317
104.8101,5,0 to 15,12.95007564296503
577.9615,6,0 to 15,12.586989409984703
1756.411,2,15 to 30,8.260211800302462
250.631,7,0 to 15,12.70801815431148
752.7669,2,15 to 30,11.346444780635249
379.5575,10,0 to 15,15.06807866868361
272.6783,5,30 to 45,8.139183055975685
4197.349,0,0 to 15,5.627836611195084
964.7496,4,15 to 30,11.406959152798638
187.4823,1,0 to 15,10.015128593040714
197.1338,6,15 to 30,12.85930408471995
1712.632,2,0 to 15,9.470499243570222
488.8193,8,30 to 45,11.527987897125413
56.47425,7,0 to 15,18.789712556731974
757.3377,3,0 to 15,11.104387291981698
1497.713,3,15 to 30,7.140695915279784
4197.349,0,0 to 15,5.809379727685248
1156.777,0,30 to 45,3.872919818456832
4519.69,0,15 to 30,4.720121028744264
617.7134,2,30 to 45,11.981845688350823
104.8101,5,0 to 15,11.618759455370496
1013.341,5,30 to 45,6.898638426626232
337.6016,6,15 to 30,11.043872919818309
1867.233,2,0 to 15,10.771558245083064
600.8604,5,30 to 45,9.349470499243445
258.186,9,30 to 45,10.983358547654921
329.9747,5,0 to 15,15.249621785173774
270.8895,0,30 to 45,12.980332829046725
750.0704,2,0 to 15,11.195158850226779
90.45606,9,0 to 15,16.18759455370629
563.2854,8,30 to 45,14.099848714069404
3085.17,0,30 to 45,12.465960665657928
185.4296,0,0 to 15,11.467473524962026
1712.632,2,0 to 15,9.319213313161752
6488.021,1,15 to 30,3.3888048411497276
259.6607,6,0 to 15,16.24810892586968
104.8101,5,0 to 15,14.22087745839618
492.2313,5,0 to 15,12.79878971255656
2180.245,3,0 to 15,8.653555219364485
2674.961,3,15 to 30,7.776096822995357
2147.376,3,0 to 15,9.470499243570222
1360.139,1,0 to 15,9.107413010589894
383.8624,5,0 to 15,18.36611195158826
211.4473,1,0 to 15,13.70650529500738
338.9679,9,0 to 15,13.585476550680605
193.5845,6,0 to 15,13.645990922843994
2408.993,0,0 to 15,7.473524962178417
87.30222,10,30 to 45,14.251134644477874
281.205,8,30 to 45,19.1527987897123
967.4,4,15 to 30,12.102874432677599
109.9455,10,30 to 45,14.52344931921312
614.1394,7,30 to 45,10.015128593040714
2261.432,4,15 to 30,8.92586989409973
1801.544,1,0 to 15,7.503782148260112
1828.319,2,15 to 30,6.323751891074045
350.8515,1,15 to 30,13.040847201210115
2185.128,3,15 to 30,6.898638426626232
289.3248,5,15 to 30,12.738275340393173
312.8963,5,0 to 15,15.642965204235798
157.6052,7,30 to 45,12.55673222390301
274.0144,1,0 to 15,15.794251134644268
390.5684,5,0 to 15,14.97730711043853
1157.988,0,15 to 30,7.201210287443172
1717.193,2,0 to 15,9.22844175491667
49.66105,8,0 to 15,17.18608169440219
587.8877,8,30 to 45,11.316187594553554
292.9978,6,0 to 15,21.089258698940718
289.3248,5,0 to 15,16.1270801815429
132.5469,9,0 to 15,14.31164901664126
3529.564,0,15 to 30,8.865355521936342
506.1144,4,15 to 30,12.19364599092268
4066.587,0,15 to 30,3.903177004538526
82.88643,10,15 to 30,14.099848714069404
185.4296,0,0 to 15,16.73222390317678
2103.555,3,15 to 30,7.745839636913664
2251.938,4,0 to 15,8.260211800302462
122.3619,8,30 to 45,20.484114977306838
377.8302,9,30 to 45,11.679273827533883
1939.749,1,0 to 15,9.470499243570222
443.802,6,30 to 45,10.680786686837981
967.4,4,15 to 30,12.19364599092268
4136.271,1,30 to 45,7.473524962178417
512.5487,4,15 to 30,12.85930408471995
918.6357,1,30 to 45,9.652042360060385
1164.838,4,0 to 15,9.742813918305469
1717.193,2,0 to 15,6.95915279878962
170.1289,1,0 to 15,11.285930408471861
482.7581,5,15 to 30,10.741301059001369
2175.03,3,0 to 15,8.381240544629238
187.4823,1,0 to 15,8.62329803328279
161.942,9,30 to 45,12.012102874432518
289.3248,5,15 to 30,12.465960665657928
130.9945,6,15 to 30,11.255673222390168
372.1386,7,0 to 15,12.25416036308607
2408.993,0,0 to 15,6.747352496217762
2175.744,3,15 to 30,8.502269288956015
4082.015,0,0 to 15,4.659606656580876
90.45606,9,0 to 15,15.128593040846999
390.9696,7,15 to 30,12.284417549167763
104.8101,5,0 to 15,15.885022692889349
90.45606,9,0 to 15,19.334341906202464
