tv,radio,social_media,influencer,sales
18000.0,7291.96,2317.96,Micro,62317.66
24000.0,3426.02,3.18,Micro,86115.54
56000.0,14880.18,2367.56,Macro,197225.13
40000.0,17428.85,3306.71,Macro,143835.91
74000.0,29562.95,2060.72,Micro,263105.63
52000.0,14565.9,1998.22,Mega,182986.01
74000.0,20220.87,4540.9,Macro,267737.34
70000.0,15354.19,1049.37,Micro,250751.39
99000.0,33878.24,8091.61,Mega,356582.14
42000.0,15215.24,1501.45,Nano,145216.47
85000.0,31796.94,2162.5,Mega,303397.39
38000.0,8872.27,1605.21,Macro,132344.37
30000.0,15432.67,3986.57,Macro,104503.93
49000.0,21032.18,5087.02,Micro,174564.11
27000.0,6447.51,1415.64,Mega,96433.43
30000.0,4561.31,1652.76,Mega,104150.36
100000.0,36573.81,5273.16,Mega,354797.37
21000.0,1380.31,5286.68,Mega,80940.73
38000.0,18903.61,4889.99,Macro,131101.52
39000.0,9722.75,903.06,Micro,135544.32
14000.0,4828.28,286.04,Micro,49187.79
40000.0,18378.4,1320.08,Mega,141380.12
33000.0,17449.48,887.76,Macro,119330.81
88000.0,26009.64,1495.6,Nano,321046.69
67000.0,28481.82,1520.8,Mega,240402.76
65000.0,20061.56,3529.27,Nano,226998.93
95000.0,30737.29,8980.23,Micro,341428.14
95000.0,36422.31,9997.47,Nano,335301.43
77000.0,31653.2,7776.98,Nano,273960.38
70000.0,21438.52,5708.1,Mega,249301.9
34000.0,16193.65,792.2,Mega,117054.66
59000.0,13452.18,1503.08,Macro,208749.51
30000.0,12155.58,932.53,Macro,106099.59
68000.0,22389.69,1506.11,Micro,243081.66
43000.0,8573.86,3298.36,Micro,156953.75
18000.0,8477.14,608.82,Mega,61708.49
84000.0,33955.62,4479.87,Nano,299346.6
61000.0,28385.19,6157.7,Micro,222450.76
24000.0,11886.44,1558.21,Micro,82549.07
41000.0,8715.25,181.47,Nano,144592.09
67000.0,18304.64,4895.17,Micro,234021.18
51000.0,24006.93,4152.02,Nano,183327.74
100000.0,36734.13,7359.71,Micro,354103.97
44000.0,18947.95,2229.81,Micro,160579.64
10000.0,758.57,527.88,Nano,35548.0
21000.0,1397.37,1444.59,Nano,77547.95
32000.0,5471.96,672.96,Micro,110374.86
98000.0,31363.91,5657.55,Nano,351426.67
39000.0,4856.12,874.16,Macro,131077.25
40000.0,19639.06,795.73,Micro,146145.69
44000.0,19015.37,6543.31,Mega,153582.23
49000.0,24871.05,5036.28,Nano,174986.16
78000.0,30117.27,3357.79,Macro,278955.15
49000.0,20423.65,4346.78,Mega,178374.68
55000.0,22374.78,5066.58,Mega,197011.14
73000.0,22867.38,968.98,Nano,261090.88
58000.0,17398.78,4007.45,Nano,204099.04
82000.0,23434.79,5914.87,Micro,288020.75
27000.0,10333.53,1130.12,Macro,97612.36
94000.0,29344.61,3436.48,Mega,336372.62
69000.0,23290.45,5671.69,Mega,245979.96
94000.0,37097.06,7596.29,Nano,334643.79
70000.0,23808.57,3766.6,Micro,246494.8
88000.0,27461.49,1524.06,Macro,312142.96
64000.0,23081.49,3056.3,Macro,219568.18
39000.0,11782.54,2956.73,Micro,138375.31
99000.0,37732.41,7724.05,Macro,349048.34
94000.0,30498.16,8823.31,Macro,331484.09
36000.0,8840.11,962.94,Nano,125387.06
78000.0,26406.76,2475.1,Macro,271026.44
44000.0,6313.17,1310.03,Macro,152831.25
79000.0,27883.21,7467.94,Nano,282748.1
26000.0,15266.73,2205.88,Macro,88967.83
17000.0,8197.93,2119.87,Mega,63253.78
13000.0,8077.5,13.23,Nano,48303.75
12000.0,3556.58,360.01,Micro,37243.27
11000.0,3785.25,1569.64,Micro,45552.51
39000.0,13221.24,3660.57,Micro,135773.15
86000.0,27148.17,4409.4,Nano,308393.05
76000.0,26192.67,4127.6,Macro,269603.01
33000.0,13365.87,12.14,Macro,116237.5
83000.0,28409.15,4085.22,Micro,292857.17
37000.0,10252.92,865.33,Nano,135530.08
92000.0,16703.77,1888.4,Macro,325513.71
100000.0,32920.19,9904.29,Nano,357124.57
94000.0,30372.71,5946.11,Mega,334089.24
27000.0,3438.82,749.52,Mega,97507.96
53000.0,19044.5,2715.1,Macro,191618.04
73000.0,28464.6,5545.68,Mega,256425.23
78000.0,26394.07,3837.37,Mega,279590.64
59000.0,25687.29,6903.11,Macro,209895.65
44000.0,15726.34,5470.32,Mega,159630.94
82000.0,33674.7,8243.05,Nano,290019.85
47000.0,14162.32,4388.11,Nano,170126.19
22000.0,3598.47,4325.62,Micro,78812.57
78000.0,24890.28,3531.09,Macro,277094.07
15000.0,9809.65,2175.1,Macro,51151.74
78000.0,36134.78,6812.53,Micro,275815.41
63000.0,19102.04,4773.05,Micro,225791.72
45000.0,12227.4,1306.05,Nano,162303.91
31000.0,8843.92,104.81,Micro,111127.75
23000.0,2201.75,376.55,Nano,80454.44
19000.0,4894.41,147.2,Macro,69990.71
40000.0,11907.89,1958.04,Nano,138677.0
35000.0,5392.62,20.64,Macro,118501.16
63000.0,20774.68,6259.15,Micro,229090.32
78000.0,23809.59,1915.05,Nano,276919.06
91000.0,22276.71,3290.08,Mega,322667.77
44000.0,16609.31,5159.07,Mega,157490.07
16000.0,12251.36,1463.12,Mega,56815.34
40000.0,12708.41,5838.25,Nano,139792.39
60000.0,21438.89,3147.75,Nano,212169.12
49000.0,16319.04,463.31,Micro,177502.55
71000.0,26023.95,3116.43,Mega,253986.11
59000.0,21272.91,3385.12,Nano,215905.48
92000.0,33295.86,1229.45,Macro,327653.64
60000.0,19015.59,5895.17,Mega,214457.61
28000.0,10932.01,1867.65,Nano,97200.55
29000.0,9197.03,3246.67,Micro,99109.34
97000.0,31707.01,4365.17,Nano,347154.76
11000.0,9398.84,3206.51,Mega,41351.23
49000.0,13761.98,2502.65,Nano,173155.09
38000.0,4338.84,28.07,Mega,139834.36
18000.0,12384.48,1637.16,Nano,65125.3
42000.0,10019.03,191.09,Nano,152949.6
76000.0,32319.26,6494.52,Mega,270637.85
86000.0,29919.63,6312.9,Mega,303609.65
70000.0,30473.89,5704.36,Nano,248051.48
69000.0,24362.46,5463.18,Macro,239732.89
47000.0,14595.17,573.24,Nano,162147.95
46000.0,17874.83,3918.94,Micro,167533.23
98000.0,33555.67,5401.72,Micro,343704.71
63000.0,18317.21,5106.41,Mega,222453.81
66000.0,15810.08,495.17,Mega,229558.25
76000.0,21430.25,3608.35,Nano,269037.33
12000.0,12848.28,2810.38,Nano,42651.52
75000.0,38271.43,8586.45,Micro,263523.81
85000.0,25241.82,5969.54,Nano,296248.6
12000.0,3188.67,276.14,Nano,46848.6
90000.0,33511.78,4663.53,Macro,322469.76
88000.0,35455.19,4091.4,Macro,312310.77
35000.0,18814.73,3041.47,Mega,123952.14
89000.0,26118.06,4020.02,Nano,320588.3
54000.0,22450.02,3389.5,Nano,188828.64
16000.0,1095.05,1784.71,Mega,55334.17
98000.0,32079.09,4158.34,Mega,342652.23
23000.0,7989.79,508.96,Mega,84707.34
93000.0,33747.43,2798.05,Mega,333077.37
52000.0,17452.88,3909.85,Nano,188116.38
27000.0,8301.39,297.74,Mega,98161.92
13000.0,5358.82,3103.56,Nano,47508.14
83000.0,21936.01,4436.26,Micro,294493.34
66000.0,21578.23,8874.24,Macro,231994.29
19000.0,7789.51,4067.82,Macro,62079.52
85000.0,23773.46,4542.66,Mega,304904.22
63000.0,19719.07,5481.92,Nano,220706.13
62000.0,25079.08,5066.1,Nano,225469.53
45000.0,15537.33,125.81,Mega,157687.3
23000.0,6621.64,113.63,Mega,79939.99
50000.0,11363.99,2321.3,Mega,185310.29
60000.0,19499.96,4912.34,Macro,216268.16
25000.0,13004.55,5277.12,Micro,91959.55
31000.0,12225.97,397.21,Macro,111143.11
77000.0,21031.97,1867.29,Micro,275388.67
27000.0,9235.85,2963.21,Nano,93351.76
77000.0,25583.44,3870.99,Macro,276083.9
95000.0,25546.37,1963.49,Micro,333368.25
48000.0,25377.23,3997.03,Micro,172885.46
14000.0,4643.18,637.38,Micro,53974.61
24000.0,4014.31,1258.97,Macro,91496.57
65000.0,23290.31,7389.83,Mega,229196.97
35000.0,9531.45,103.5,Nano,125339.34
86000.0,24293.2,8041.21,Micro,306606.59
48000.0,14418.75,3117.41,Nano,170283.32
59000.0,19340.86,1602.34,Micro,210571.77
88000.0,26300.66,4204.04,Nano,314180.55
78000.0,23322.45,3866.74,Mega,280831.62
79000.0,31057.41,3806.95,Micro,286677.51
22000.0,1060.64,1093.88,Macro,73093.19
46000.0,17613.33,3480.43,Macro,160615.09
83000.0,23778.98,2930.68,Micro,295491.53
26000.0,12105.38,4007.43,Macro,94002.46
34000.0,2090.0,217.75,Nano,123121.93
50000.0,3497.2,3337.07,Nano,174745.03
79000.0,19155.84,14.71,Macro,281592.89
75000.0,25271.94,7717.11,Nano,267803.61
32000.0,13457.46,917.66,Mega,116783.84
29000.0,9487.99,250.43,Micro,105776.71
96000.0,36723.08,3950.39,Nano,343087.75
74000.0,27963.3,2837.58,Nano,258375.43
49000.0,20265.86,3446.13,Micro,171856.67
34000.0,16856.78,3886.01,Mega,118916.38
37000.0,12228.72,1749.29,Mega,129014.84
37000.0,8823.53,3405.84,Mega,132549.61
59000.0,15292.05,3340.44,Macro,208274.45
48000.0,14115.62,3328.38,Mega,175546.16
80000.0,24554.63,4832.33,Micro,285596.23
28000.0,5313.71,2473.6,Nano,91497.53
64000.0,25528.28,3140.87,Nano,226276.96
50000.0,21174.8,4486.4,Macro,180319.54
46000.0,18548.42,2455.58,Nano,164756.2
86000.0,24786.24,6349.96,Mega,309204.33
69000.0,29594.4,8243.72,Nano,246091.52
85000.0,29501.02,2518.22,Mega,300558.45
52000.0,9837.59,2080.18,Macro,183711.87
54000.0,17443.05,5549.22,Nano,191003.47
17000.0,2249.2,395.15,Nano,61865.31
93000.0,26502.82,3537.62,Mega,331647.86
85000.0,24483.98,5918.99,Micro,297056.49
21000.0,1505.94,2438.9,Mega,73873.42
88000.0,37969.3,4739.68,Macro,314311.37
75000.0,29484.23,7237.78,Nano,268799.78
38000.0,3046.31,1743.63,Macro,132326.04
95000.0,36365.7,1944.66,Macro,339115.28
46000.0,25282.0,2798.76,Mega,163639.62
75000.0,26075.5,5143.71,Mega,269444.99
64000.0,10930.9,3085.38,Mega,225064.05
35000.0,8978.48,53.63,Nano,125328.92
30000.0,6122.32,2606.81,Mega,104524.68
86000.0,27738.01,5293.54,Macro,307893.33
79000.0,23183.45,762.16,Nano,282710.85
16000.0,16924.17,6447.48,Nano,54654.67
63000.0,22816.08,4717.04,Nano,228424.13
78000.0,22768.11,2964.1,Micro,277399.33
24000.0,12794.48,3973.16,Nano,86229.26
34000.0,14445.35,1270.28,Nano,124595.71
36000.0,14758.68,807.41,Micro,125073.69
64000.0,17617.14,5116.68,Micro,228542.47
79000.0,37379.04,4767.53,Macro,281114.79
11000.0,7228.35,5250.18,Micro,46529.7
22000.0,5120.82,2205.3,Micro,74741.6
46000.0,3159.83,4261.81,Nano,161182.95
49000.0,15445.52,62.41,Mega,174556.76
39000.0,8437.96,2926.37,Mega,141590.09
38000.0,857.28,218.74,Nano,137697.37
23000.0,4037.91,2876.51,Micro,78651.46
17000.0,8482.7,946.15,Nano,58925.32
57000.0,17509.37,3912.91,Macro,204453.38
24000.0,8822.6,388.31,Mega,86786.03
38000.0,13973.81,2937.26,Nano,133387.63
55000.0,13236.75,603.92,Mega,199131.7
84000.0,27933.52,3978.53,Macro,300567.83
23000.0,3424.42,1254.89,Nano,82711.03
25000.0,21571.6,182.59,Micro,89093.25
61000.0,24026.7,4468.54,Macro,214506.74
92000.0,36281.39,7693.02,Mega,334254.82
52000.0,14718.76,5067.92,Micro,184283.27
42000.0,25043.44,7954.16,Macro,151130.23
87000.0,26263.45,4666.25,Mega,314086.78
23000.0,3511.06,1668.67,Nano,82129.66
16000.0,1114.22,124.31,Micro,55749.76
97000.0,31597.59,6096.17,Macro,345600.24
83000.0,22123.18,4548.47,Mega,301021.34
32000.0,7235.17,4165.98,Micro,114222.55
81000.0,30516.79,4253.77,Mega,286336.17
81000.0,35744.01,8485.58,Mega,290199.18
32000.0,9445.03,904.71,Nano,115359.24
24000.0,11041.01,581.8,Nano,82909.97
93000.0,28274.66,2404.14,Mega,328321.73
52000.0,20597.44,5687.52,Mega,183612.0
21000.0,2027.72,542.77,Nano,70908.77
15000.0,7888.21,3998.36,Macro,53544.01
62000.0,19939.75,1581.67,Mega,222469.25
45000.0,14765.15,4973.73,Mega,159811.6
84000.0,29281.04,4182.35,Micro,300753.93
12000.0,8466.71,4076.58,Mega,41869.92
66000.0,23162.6,2051.33,Mega,238371.44
71000.0,21684.79,4362.89,Mega,253461.33
30000.0,2763.16,1491.29,Nano,108707.99
96000.0,36136.79,8724.35,Nano,340797.98
81000.0,36010.62,9307.98,Micro,291870.25
61000.0,13623.84,1081.63,Mega,218796.74
88000.0,31296.57,6268.56,Nano,312233.63
95000.0,25721.7,3653.92,Micro,338726.57
32000.0,17778.75,6010.8,Macro,108835.27
23000.0,3159.15,1838.04,Mega,84468.58
19000.0,11843.08,1411.74,Macro,63789.17
99000.0,35308.15,8233.63,Macro,347882.14
21000.0,17728.5,1316.67,Micro,72793.19
83000.0,22647.67,1815.3,Macro,294372.93
34000.0,9529.04,46.32,Macro,122398.03
65000.0,21828.68,3852.36,Macro,226068.1
42000.0,11666.85,3124.11,Nano,147670.32
28000.0,11742.89,1545.79,Nano,108654.24
84000.0,23158.84,6493.39,Macro,301979.69
74000.0,31200.63,5956.15,Macro,262000.01
58000.0,31499.37,5374.44,Micro,203057.89
63000.0,21792.81,393.59,Nano,223841.89
46000.0,21959.81,880.59,Micro,164791.01
51000.0,24916.49,4628.29,Mega,180374.61
42000.0,9352.96,606.13,Mega,146357.79
98000.0,31289.78,4623.31,Nano,343940.09
18000.0,10137.81,3181.97,Macro,66548.4
72000.0,19464.39,1767.53,Nano,258017.84
90000.0,29941.9,8349.0,Mega,320715.34
47000.0,13854.71,3723.62,Macro,167087.4
11000.0,15259.66,1938.09,Micro,42719.96
59000.0,13021.39,3264.33,Micro,211077.77
49000.0,15758.74,1621.96,Macro,173099.12
51000.0,23287.73,6650.24,Mega,178298.13
49000.0,23082.46,5745.42,Macro,173727.25
88000.0,25781.36,5715.41,Macro,313657.34
49000.0,15441.92,64.06,Mega,175730.83
21000.0,5092.82,1400.16,Mega,81000.14
84000.0,33492.22,9638.97,Nano,297486.82
13000.0,4027.76,216.29,Micro,44068.9
55000.0,11313.64,1457.21,Nano,192800.06
73000.0,18966.36,4058.4,Mega,260890.45
47000.0,19831.38,2825.68,Micro,170979.34
34000.0,16279.26,5187.61,Macro,119472.77
98000.0,26230.76,4307.67,Mega,347574.74
72000.0,29401.84,883.78,Micro,255282.9
59000.0,28351.02,6541.17,Macro,210399.87
88000.0,33992.32,5781.69,Mega,311607.75
94000.0,31213.15,6894.32,Nano,334320.58
55000.0,13727.3,3332.91,Nano,201156.84
23000.0,10725.53,564.04,Nano,80786.42
63000.0,16100.85,3055.37,Micro,224197.9
31000.0,7047.02,4181.18,Nano,107972.79
29000.0,11535.45,3916.64,Micro,103882.32
100000.0,38470.63,5793.62,Macro,358350.54
21000.0,6286.84,131.84,Macro,71400.97
15000.0,388.04,1104.82,Macro,52038.37
63000.0,13476.9,3355.97,Macro,226135.42
43000.0,27200.07,8702.65,Mega,153656.72
97000.0,42331.65,8486.32,Mega,348392.74
19000.0,9057.54,1480.04,Macro,69364.81
100000.0,32400.65,3784.15,Nano,355051.63
62000.0,11563.13,1926.69,Mega,220609.24
37000.0,7258.21,4582.01,Nano,131730.55
88000.0,25026.56,4134.0,Nano,314945.47
33000.0,8177.61,3447.21,Nano,119400.58
37000.0,5264.62,2531.73,Nano,130959.16
66000.0,23915.4,3955.48,Mega,240692.93
79000.0,20556.39,2577.39,Macro,281295.4
67000.0,27533.56,10453.92,Macro,242587.37
43000.0,14106.23,750.12,Macro,146532.11
61000.0,27241.37,4250.42,Nano,214436.74
81000.0,30661.25,7211.12,Micro,291143.56
17000.0,8797.29,2409.16,Macro,61219.11
90000.0,25225.67,3061.94,Micro,321070.11
16000.0,5735.73,2354.33,Macro,58209.52
68000.0,19776.18,3217.63,Micro,240803.01
90000.0,32725.48,8829.54,Mega,319437.53
61000.0,22239.35,8194.79,Macro,214396.44
32000.0,10579.93,64.46,Mega,117020.72
29000.0,12995.87,270.84,Nano,107454.57
92000.0,31461.29,1744.87,Micro,330014.76
82000.0,29601.11,6481.91,Macro,292209.86
24000.0,7474.27,440.11,Mega,84233.64
45000.0,18097.01,102.15,Micro,160435.1
81000.0,24062.07,1540.09,Nano,292546.53
90000.0,28165.02,6919.15,Mega,322233.42
62000.0,27598.91,3606.6,Nano,218202.09
43000.0,17655.44,2395.35,Micro,154226.17
68000.0,19131.42,6834.95,Micro,240226.86
20000.0,6416.72,2258.86,Nano,66767.2
45000.0,6359.35,704.37,Mega,159707.34
60000.0,15527.66,2055.27,Macro,210905.17
17000.0,9150.56,4636.3,Macro,56484.93
22000.0,20346.73,5491.17,Mega,76961.67
24000.0,4799.85,570.03,Macro,90333.15
56000.0,17736.73,2094.38,Micro,201021.54
36000.0,6101.05,3262.97,Micro,136939.73
15000.0,3518.07,2293.79,Micro,55261.28
44000.0,15669.27,1086.78,Nano,153117.18
26000.0,17836.65,5109.7,Micro,91751.21
100000.0,37403.99,6441.65,Nano,354572.4
21000.0,5418.0,4626.97,Mega,72738.98
62000.0,26586.28,4520.67,Micro,222122.98
41000.0,12501.6,1247.27,Macro,148491.79
85000.0,36077.76,11403.63,Macro,304970.63
88000.0,31023.03,7352.55,Macro,318149.54
25000.0,5384.66,631.99,Mega,83574.35
14000.0,7388.49,120.49,Mega,49976.5
100000.0,31359.03,6512.74,Macro,355524.45
42000.0,7277.73,277.14,Macro,146937.29
54000.0,21469.41,1186.42,Macro,197665.85
23000.0,10051.41,156.85,Micro,82319.99
44000.0,12019.35,4631.65,Nano,160052.29
46000.0,17782.61,3773.45,Macro,170781.33
69000.0,28000.48,7370.7,Micro,243091.02
55000.0,19955.73,5245.12,Micro,197735.33
40000.0,9100.43,2705.53,Macro,147593.57
40000.0,13931.04,3935.94,Nano,143172.89
48000.0,16360.0,3914.31,Macro,166618.2
70000.0,17067.61,3299.87,Macro,248668.28
99000.0,24978.44,2640.89,Macro,355525.31
72000.0,24183.59,4736.88,Mega,249427.96
49000.0,12072.17,4381.53,Macro,176835.53
74000.0,26312.31,5591.73,Macro,264544.72
17000.0,6837.29,2314.95,Macro,61653.62
88000.0,30245.77,6376.38,Macro,313260.46
61000.0,26666.74,3698.03,Micro,215797.3
13000.0,7430.2,1294.09,Micro,44849.05
45000.0,18806.08,1052.3,Nano,156574.16
50000.0,9960.47,904.87,Micro,179725.06
33000.0,23179.95,4492.85,Macro,120655.29
12000.0,1228.08,1523.41,Macro,33509.81
35000.0,13942.33,1387.05,Mega,123552.96
60000.0,29732.54,2012.4,Mega,212602.05
29000.0,10377.26,61.98,Mega,102774.79
93000.0,37347.78,8278.56,Nano,333874.29
58000.0,14757.42,1887.77,Mega,208896.34
52000.0,25300.56,2365.39,Mega,186342.86
26000.0,1218.35,1270.44,Micro,90054.22
68000.0,21076.96,1240.82,Macro,247316.68
70000.0,22950.87,5688.32,Mega,251130.03
74000.0,29203.18,5343.64,Mega,265694.9
28000.0,15732.5,7952.64,Mega,101239.82
97000.0,34855.17,8128.92,Macro,349278.67
61000.0,17999.67,689.68,Nano,210805.04
25000.0,8466.52,648.55,Mega,89250.6
73000.0,15850.81,3055.22,Mega,262641.73
29000.0,18184.8,1570.36,Macro,102533.43
67000.0,12849.49,3413.28,Mega,237559.99
89000.0,33391.88,6297.54,Mega,319447.17
31000.0,14300.82,2954.93,Nano,109774.55
55000.0,10569.17,2990.74,Mega,194997.45
97000.0,34030.92,4107.47,Mega,349629.03
96000.0,38349.83,5625.68,Nano,343716.16
21000.0,6701.21,886.16,Macro,73721.2
75000.0,27694.58,6330.32,Mega,264950.39
28000.0,7462.65,2487.82,Micro,100225.15
47000.0,15892.86,2001.41,Mega,167724.67
95000.0,43129.33,10174.98,Micro,339871.73
13000.0,1311.58,917.87,Micro,48232.08
28000.0,12990.51,3381.62,Micro,98903.53
99000.0,36876.3,7618.61,Mega,351807.33
64000.0,18669.68,3045.51,Mega,227315.65
70000.0,24703.92,5052.82,Mega,253938.77
31000.0,9847.55,553.31,Micro,109553.77
70000.0,24122.86,1078.75,Nano,252088.24
96000.0,33737.17,8701.5,Micro,343046.05
100000.0,32386.32,6903.4,Mega,350843.74
75000.0,20771.19,1930.36,Nano,268862.99
98000.0,27669.81,1605.37,Nano,345555.93
71000.0,30934.32,4066.91,Macro,251143.67
25000.0,10698.38,1359.46,Mega,87956.55
30000.0,7377.35,4990.93,Macro,106483.05
17000.0,7759.34,1962.26,Nano,61872.98
83000.0,37716.27,4007.7,Macro,293838.17
20000.0,11478.23,695.77,Nano,74531.86
89000.0,36060.87,2325.71,Nano,316582.36
16000.0,13828.1,890.16,Mega,54741.93
20000.0,14685.32,2331.9,Mega,68639.9
13000.0,14522.12,2823.85,Nano,48857.25
83000.0,28826.71,5519.58,Macro,292089.58
47000.0,22149.75,5275.78,Micro,169598.02
68000.0,14028.81,1276.22,Nano,241237.43
38000.0,7736.68,2059.61,Mega,137813.09
77000.0,29769.76,2856.59,Macro,270488.15
64000.0,27024.8,3399.22,Macro,226754.03
94000.0,16780.14,2965.43,Nano,334786.71
34000.0,16687.32,377.6,Mega,119292.06
50000.0,14957.41,1952.88,Mega,178374.55
97000.0,32097.08,6671.54,Micro,340841.58
65000.0,16009.38,1309.54,Micro,226145.13
66000.0,21835.13,6269.99,Mega,232622.24
93000.0,36812.28,3083.61,Mega,331028.83
55000.0,20488.69,5290.46,Mega,202354.76
63000.0,14586.61,2221.68,Nano,226019.27
62000.0,18225.99,6618.43,Nano,219889.98
51000.0,14765.56,4811.43,Nano,180756.59
20000.0,12301.21,1123.41,Mega,75221.27
79000.0,19481.78,2244.64,Macro,277443.73
83000.0,28181.72,6851.15,Nano,294467.95
84000.0,22326.68,165.28,Micro,297071.07
41000.0,14819.25,6158.93,Nano,145231.73
78000.0,23930.88,3943.73,Mega,275098.8
73000.0,31327.13,10260.55,Nano,259859.08
62000.0,30095.35,8267.24,Nano,220853.93
97000.0,35166.88,5677.77,Mega,342731.53
97000.0,35734.62,6814.45,Micro,347678.48
24000.0,9225.85,3542.56,Micro,90494.26
43000.0,12323.1,1312.62,Macro,154699.96
17000.0,1161.55,126.21,Nano,60623.67
39000.0,16974.91,5187.08,Micro,144822.98
35000.0,6464.55,1375.94,Mega,125982.09
