,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
38026,65.0,0.89,0.6,217400.0,0.243,0.0022,0.249,-17.085,0.0366,110.535,0.4679999999999999,1
38548,58.0,0.88,0.309,241013.0,0.179,0.000346,0.1169999999999999,-17.077,0.0337,121.49799999999999,0.1669999999999999,1
36078,59.0,0.833,0.47100000000000003,267067.0,0.1639999999999999,0.0,0.1009999999999999,-10.879000000000001,0.0324,125.242,0.17,1
38356,58.0,0.0844,0.593,-1.0,0.8370000000000001,0.0,0.14800000000000002,-4.834,0.0302,99.947,0.569,1
36749,71.0,0.0029,0.736,-1.0,0.711,0.000275,0.0948,-5.502999999999999,0.0352,112.309,0.7190000000000001,1
36089,59.0,0.0088799999999999,0.49,224960.0,0.951,0.00126,0.376,-3.888,0.0966,158.075,0.628,1
35931,51.0,0.49700000000000005,0.74,220427.0,0.816,0.0,0.195,-4.7639999999999985,0.0765,91.91,0.963,1
38054,50.0,1.4999999999999999e-05,0.5429999999999999,218973.0,0.866,0.0298,0.32,-4.812,0.0399,137.946,0.321,1
36122,57.0,0.0837,0.498,175547.0,0.639,4.61e-05,0.1939999999999999,-6.04,0.0328,119.95296059529068,0.18,1
35647,56.0,0.00463,0.469,207967.0,0.8540000000000001,0.0,0.344,-5.03,0.1639999999999999,186.06099999999998,0.5589999999999999,1
39772,50.0,0.00328,0.522,141133.0,0.889,0.0,0.345,-4.137,0.0461,144.499,0.852,1
35506,51.0,0.0691,0.557,-1.0,0.61,0.0117,0.341,-9.899,0.111,155.966,0.128,1
39071,59.0,0.14400000000000002,0.613,285467.0,0.531,3.74e-06,0.8009999999999999,-9.172,0.0338,152.023,0.3379999999999999,1
35338,66.0,0.17300000000000001,0.589,212827.0,0.8440000000000001,0.0,0.076,-3.925,0.0626,81.945,0.562,1
39689,62.0,0.0003259999999999,0.499,205440.0,0.958,2.19e-06,0.43200000000000005,-5.417000000000002,0.0898,127.491,0.359,1
35491,55.0,0.0295,0.542,185907.0,0.7659999999999999,0.0802,0.396,-5.4110000000000005,0.0282,88.06200000000001,0.643,1
36967,60.0,0.0847,0.40700000000000003,349187.0,0.424,0.0,0.2339999999999999,-10.583,0.0318,113.311,0.4039999999999999,1
35398,62.0,0.0904,0.395,234973.0,0.5379999999999999,0.000453,0.0685,-10.3,0.0456,150.785,0.369,1
39847,61.0,0.7959999999999999,0.4589999999999999,268530.0,0.317,0.0,0.126,-6.856,0.0279,137.748,0.297,1
39871,64.0,0.41200000000000003,0.652,163600.0,0.583,0.0,0.11900000000000001,-7.811,0.038,119.95296059529068,0.7440000000000001,1
36760,63.0,0.0105,0.359,563893.0,0.762,0.281,0.368,-8.323,0.032,89.259,0.1669999999999999,1
37520,63.0,0.069,0.48,163453.0,0.9690000000000001,0.00022,0.0608,-7.463999999999999,0.0854,142.489,0.494,1
38590,63.0,0.000393,0.272,262133.0,0.747,4.03e-05,0.16,-4.86,0.0401,202.77700000000002,0.255,1
39320,57.0,0.732,0.48,-1.0,0.298,0.00295,0.1,-13.477,0.0356,128.02200000000002,0.0556,1
39971,54.0,0.0074,0.6659999999999999,220462.0,0.573,0.000233,0.1159999999999999,-8.369,0.0361,96.98200000000001,0.4379999999999999,1
37104,62.0,0.000198,0.39,177048.0,0.91,0.0,0.156,-3.2680000000000002,0.133,162.253,0.644,1
38604,53.0,0.0541,0.6509999999999999,269613.0,0.875,0.00984,0.0254,-4.349,0.0409,92.022,0.83,1
39126,66.0,0.00941,0.5529999999999999,208280.0,0.8370000000000001,0.0,0.37200000000000005,-5.608,0.0452,140.495,0.43200000000000005,1
35034,54.0,0.174,0.568,213600.0,0.7140000000000001,0.0,0.0429,-7.1389999999999985,0.0445,146.338,0.955,1
35070,71.0,0.0272,0.5770000000000001,168613.0,0.9390000000000001,0.0,0.24,-1.3519999999999999,0.10800000000000001,105.09200000000001,0.7140000000000001,1
35843,63.0,5.91e-06,0.382,298253.0,0.867,0.581,0.196,-7.426,0.0399,87.309,0.4529999999999999,1
38911,57.0,0.735,0.7170000000000001,146400.0,0.373,0.0,0.303,-7.185,0.061,138.513,0.5379999999999999,1
38778,57.0,0.9129999999999999,0.35600000000000004,179107.0,0.26,2.1000000000000002e-06,0.105,-10.577,0.0314,144.184,0.49,1
39640,57.0,0.0424,0.629,244360.0,0.69,0.0,0.363,-4.894,0.0357,102.036,0.307,1
38166,63.0,0.2689999999999999,0.45,297320.0,0.35600000000000004,0.515,0.0944,-13.692,0.0337,179.937,0.0839,1
37664,72.0,0.198,0.58,206360.0,0.498,0.0,0.132,-6.901,0.0277,116.271,0.111,1
39620,61.0,0.314,0.687,204333.0,0.648,1.37e-06,0.289,-9.137,0.027000000000000003,121.34100000000001,0.6,1
39633,67.0,0.344,0.489,176147.0,0.637,0.0,0.17600000000000002,-5.0139999999999985,0.0402,170.157,0.345,1
37456,58.0,0.00144,0.627,194533.0,0.63,0.19,0.337,-12.33,0.0403,125.154,0.3229999999999999,1
37851,52.0,0.0271,0.691,222000.0,0.754,0.0719,0.8809999999999999,-8.136000000000001,0.0372,144.085,0.924,1
36149,54.0,0.0489,0.332,214106.0,0.731,0.0034700000000000004,0.17800000000000002,-4.565,0.0446,90.02799999999999,0.636,1
38083,63.0,7.53e-06,0.5589999999999999,213920.0,0.871,0.00524,0.096,-5.337999999999999,0.0392,104.976,0.573,1
36108,53.0,0.000242,0.34600000000000003,185524.0,0.75,0.0119,0.271,-6.619,0.10300000000000001,165.03599999999997,0.667,1
35173,53.0,0.7440000000000001,0.257,233901.0,0.452,0.0996,0.38,-12.365,0.0349,119.95296059529068,0.271,1
36675,49.0,0.00591,0.35600000000000004,193213.0,0.8370000000000001,2.8300000000000007e-05,0.0635,-4.166,0.0721,131.668,0.54,1
37575,66.0,0.00187,0.552,299733.0,0.645,1.38e-06,0.0424,-6.595,0.0268,89.51799999999999,0.588,1
37382,72.0,0.909,0.643,250907.0,0.344,0.0112,0.106,-11.342,0.0349,144.171,0.547,1
39400,51.0,0.0028699999999999,0.6759999999999999,286933.0,0.687,0.000446,0.2739999999999999,-7.792000000000002,0.0234,100.06,0.4029999999999999,1
39262,61.0,0.426,0.7020000000000001,236973.0,0.9009999999999999,0.0015300000000000001,0.0368,-4.45,0.0264,97.86200000000001,0.919,1
38867,67.0,0.05,0.813,242200.0,0.977,2.75e-05,0.147,-6.0779999999999985,0.0476,114.316,0.8420000000000001,1
35028,54.0,0.0173,0.575,246333.0,0.591,0.0,0.17300000000000001,-5.916,0.0279999999999999,107.96700000000001,0.332,1
37638,54.0,0.0887,0.626,260853.0,0.691,9.63e-05,0.115,-5.872999999999998,0.0283,109.005,0.396,1
38345,70.0,0.000242,0.606,193000.0,0.887,0.0,0.337,-4.404,0.0598,119.97399999999999,0.903,1
37220,69.0,0.00468,0.499,134200.0,0.873,0.0,0.165,-3.9019999999999997,0.0386,142.726,0.8640000000000001,1
38687,64.0,0.00165,0.519,239333.0,0.78,2.14e-05,0.156,-4.939,0.0356,145.125,0.166,1
39729,58.0,0.595,0.503,165613.0,0.772,2.47e-06,0.1989999999999999,-6.205,0.0322,79.462,0.935,1
36912,59.0,0.10400000000000001,0.595,234427.0,0.792,3.29e-06,0.171,-5.426,0.0297,119.531,0.611,1
35089,51.0,0.491,0.617,141091.0,0.6559999999999999,7.84e-06,0.0796,-8.023,0.304,84.712,0.475,1
35232,77.0,0.193,0.47700000000000004,-1.0,0.47100000000000003,1.76e-06,0.131,-10.036,0.0277,81.204,0.423,1
35301,79.0,0.29600000000000004,0.623,191360.0,0.41700000000000004,0.0,0.135,-8.699,0.0354,130.032,0.721,1
36006,49.0,0.0946,0.419,281000.0,0.748,0.000174,0.0916,-8.142000000000001,0.0521,85.02,0.41700000000000004,1
37143,59.0,0.122,0.593,218853.0,0.601,5.69e-06,0.18100000000000002,-5.996,0.0289999999999999,119.95296059529068,0.531,1
35716,57.0,0.00864,0.509,238200.0,0.935,1.17e-06,0.255,-3.633,0.0493,148.062,0.501,1
37806,62.0,0.027000000000000003,0.521,192333.0,0.9009999999999999,0.0651,0.10800000000000001,-5.518,0.067,131.18200000000002,0.8170000000000001,1
37532,55.0,0.271,0.42100000000000004,263253.0,0.633,0.0,0.113,-6.8370000000000015,0.0433,155.715,0.161,1
38757,57.0,0.968,0.573,115827.0,0.235,0.0198,0.105,-16.982,0.0426,79.578,0.8340000000000001,1
38326,76.0,0.386,0.49,145747.0,0.715,0.0,0.311,-5.5489999999999995,0.0476,130.726,0.866,1
38186,60.0,0.0141,0.441,270800.0,0.563,3.69e-06,0.1009999999999999,-7.274,0.0251,85.711,0.209,1
39188,63.0,0.40700000000000003,0.759,220893.0,0.779,0.061,0.159,-9.375,0.0347,128.211,0.9179999999999999,1
36620,56.0,0.0116,0.507,-1.0,0.6659999999999999,0.3429999999999999,0.129,-8.362,0.0289999999999999,77.979,0.185,1
38029,70.0,0.0056799999999999,0.441,-1.0,0.762,3.3100000000000005e-05,0.0865,-3.8569999999999998,0.0438,167.96400000000003,0.743,1
36418,62.0,0.0234,0.628,210653.0,0.797,3.57e-06,0.1119999999999999,-6.103,0.0371,119.95296059529068,0.49700000000000005,1
35768,73.0,0.506,0.7440000000000001,328293.0,0.545,0.0977,0.0649,-9.361,0.0297,97.40899999999999,0.34600000000000003,1
35660,59.0,0.0185,0.6559999999999999,248960.0,0.721,0.0,0.0478,-5.675,0.0322,93.947,0.47200000000000003,1
39802,53.0,0.903,0.637,214240.0,0.129,0.0,0.107,-11.89,0.0405,139.74200000000002,0.368,1
38854,56.0,0.0238,0.655,313533.0,0.6940000000000001,0.0,0.0344,-5.184,0.0326,96.458,0.431,1
39158,58.0,0.0019199999999999,0.49,205040.0,0.6990000000000001,6.45e-06,0.111,-5.55,0.0289,85.955,0.364,1
35473,54.0,0.0487,0.565,234040.0,0.615,1.93e-06,0.16,-10.793,0.0384,143.928,0.591,1
35162,53.0,0.0133,0.2289999999999999,215653.0,0.871,2.18e-06,0.266,-4.558,0.10300000000000001,86.965,0.395,1
36300,53.0,0.0157,0.6629999999999999,212613.0,0.777,0.00829,0.0755,-5.496,0.0375,143.003,0.94,1
35502,55.0,0.479,0.345,259741.0,0.461,0.0184,0.0993,-12.062999999999999,0.0645,96.346,0.171,1
39745,52.0,0.00034700000000000003,0.39,272074.0,0.828,0.14400000000000002,0.128,-5.4529999999999985,0.0284,81.861,0.5539999999999999,1
37945,56.0,0.0984,0.396,197320.0,0.6709999999999999,0.0,0.0844,-6.9529999999999985,0.0351,119.95296059529068,0.257,1
38461,62.0,0.4529999999999999,0.508,213267.0,0.493,0.0,0.24100000000000002,-8.786,0.0327,127.671,0.467,1
35378,56.0,0.92,0.551,260840.0,0.289,0.00011,0.124,-9.83,0.0268,108.098,0.43200000000000005,1
35084,64.0,0.298,0.541,160080.0,0.608,0.0,0.2339999999999999,-13.083,0.106,171.99200000000002,0.938,1
36558,60.0,0.316,0.68,-1.0,0.701,4.72e-06,0.111,-10.36,0.036000000000000004,108.287,0.9329999999999999,1
36674,71.0,0.5379999999999999,0.4039999999999999,148053.0,0.43,0.0,0.0802,-12.327,0.2239999999999999,180.06099999999998,0.6409999999999999,1
37136,66.0,0.0238,0.63,189227.0,0.9079999999999999,0.5920000000000001,0.1159999999999999,-2.42,0.0326,120.522,0.968,1
39444,67.0,0.3379999999999999,0.633,-1.0,0.5589999999999999,0.0,0.262,-5.135,0.313,114.98299999999999,0.473,1
35470,64.0,0.79,0.727,133507.0,0.3379999999999999,0.0,0.105,-13.887,0.0454,122.421,0.6459999999999999,1
35253,60.0,0.2239999999999999,0.645,217156.0,0.557,0.0,0.374,-5.882999999999999,0.0329,100.02600000000001,0.461,1
35936,64.0,0.039,0.8240000000000001,249533.0,0.366,0.106,0.0403,-10.96,0.145,73.949,0.895,1
36340,57.0,0.0993,0.439,258160.0,0.591,0.00225,0.0718,-6.407,0.0419,125.89299999999999,0.397,1
39529,71.0,0.0311,0.654,211960.0,0.726,6.35e-05,0.0618,-3.803,0.0401,103.98700000000001,0.728,1
36343,53.0,0.634,0.608,168027.0,0.17800000000000002,0.35200000000000004,0.166,-17.109,0.0264,84.78,0.401,1
36411,74.0,0.6,0.3339999999999999,336093.0,0.47200000000000003,3.77e-06,0.317,-8.792,0.0277,179.167,0.431,1
36095,54.0,0.0219,0.597,218400.0,0.812,0.00106,0.102,-12.062000000000001,0.0315,135.68,0.823,1
39214,58.0,0.0009570000000000001,0.445,192533.0,0.909,3.510000000000001e-05,0.3779999999999999,-4.109,0.134,94.025,0.297,1
35747,52.0,0.6559999999999999,0.42,351678.0,0.662,0.00042300000000000004,0.096,-9.828,0.0341,147.94899999999998,0.3779999999999999,1
37328,53.0,0.392,0.373,331173.0,0.5710000000000001,0.0476,0.126,-9.186,0.0334,161.874,0.6559999999999999,1
38606,56.0,0.0832,0.392,268467.0,0.835,0.00982,0.0769,-6.553,0.0596,144.641,0.12,1
37128,64.0,0.17,0.505,-1.0,0.8370000000000001,0.0,0.113,-5.146,0.0358,140.066,0.623,1
37099,54.0,0.655,0.6990000000000001,252067.0,0.1969999999999999,0.0,0.0716,-14.792,0.0383,122.87100000000001,0.361,1
35245,68.0,0.0004059999999999,0.48700000000000004,160886.0,0.888,0.0010400000000000001,0.405,-4.7360000000000015,0.0887,137.939,0.563,1
37356,57.0,0.142,0.405,338240.0,0.7559999999999999,4.03e-05,0.638,-6.3610000000000015,0.0307,119.95296059529068,0.606,1
36375,71.0,0.0314,0.5589999999999999,205933.0,0.882,1.7100000000000002e-05,0.605,-4.2810000000000015,0.157,126.064,0.634,1
36062,62.0,0.0198,0.6,277533.0,0.912,6.52e-05,0.0883,-3.449,0.0724,110.339,0.506,1
39821,57.0,0.175,0.541,174573.0,0.662,0.0,0.0803,-7.1960000000000015,0.0382,144.046,0.742,1
35204,58.0,0.161,0.41600000000000004,211487.0,0.53,1.34e-06,0.10800000000000001,-8.182,0.0255,102.029,0.379,1
37285,62.0,0.0129,0.595,341533.0,0.804,1.9699999999999998e-05,0.299,-7.9110000000000005,0.0326,89.846,0.586,1
39754,64.0,0.25,0.546,178147.0,0.631,0.0,0.12300000000000001,-5.7570000000000014,0.0283,129.556,0.569,1
37225,64.0,0.0263,0.54,188333.0,0.78,7.12e-06,0.35,-5.872000000000001,0.0418,144.011,0.514,1
39776,57.0,0.10300000000000001,0.2789999999999999,496573.0,0.47200000000000003,0.8740000000000001,0.063,-16.42,0.0295,115.13,0.135,1
37824,55.0,0.131,0.5670000000000001,290827.0,0.569,0.011000000000000001,0.0714,-11.963,0.0335,109.29299999999999,0.75,1
38155,54.0,0.0145,0.528,209206.0,0.875,0.0,0.138,-5.912000000000001,0.0436,136.83,0.479,1
39261,59.0,0.133,0.445,226827.0,0.7709999999999999,0.0,0.273,-4.607,0.0501,147.91299999999998,0.4479999999999999,1
38112,60.0,0.0819999999999999,0.8029999999999999,247160.0,0.718,0.0008810000000000001,0.079,-6.457000000000002,0.0357,115.01700000000001,0.9329999999999999,1
36978,58.0,0.522,0.48,224947.0,0.5,0.0,0.193,-6.202000000000001,0.0279999999999999,149.957,0.41,1
36380,59.0,0.00286,0.391,250627.0,0.557,0.0,0.209,-4.47,0.0291,145.861,0.142,1
38973,64.0,0.664,0.4029999999999999,212640.0,0.45,7.57e-06,0.0946,-6.314,0.0297,147.694,0.1159999999999999,1
39067,63.0,0.763,0.784,200147.0,0.4589999999999999,1.28e-06,0.0684,-10.446,0.0304,106.95700000000001,0.9309999999999999,1
39450,61.0,0.000484,0.348,187907.0,0.893,6.36e-05,0.281,-4.5889999999999995,0.0662,148.043,0.392,1
38562,61.0,5.870000000000001e-05,0.248,311200.0,0.988,0.84,0.3229999999999999,-3.74,0.14400000000000002,119.95296059529068,0.149,1
35969,51.0,0.00925,0.6,201280.0,0.9,0.293,0.2689999999999999,-8.434,0.0457,119.95296059529068,0.9179999999999999,1
35184,67.0,0.0609,0.648,242035.0,0.75,4.41e-06,0.10400000000000001,-3.248,0.0335,105.03,0.556,1
38703,47.0,0.52,0.561,184632.0,0.715,0.0,0.11900000000000001,-6.3439999999999985,0.0417,153.95600000000002,0.4529999999999999,1
38826,55.0,0.287,0.677,237388.0,0.45,0.00185,0.0992,-9.352,0.0325,119.912,0.43200000000000005,1
39883,53.0,0.258,0.49200000000000005,202032.0,0.7240000000000001,0.162,0.255,-6.79,0.0332,84.23700000000001,0.3229999999999999,1
38904,61.0,0.21,0.494,180320.0,0.47,0.0,0.28,-9.599,0.0301,103.477,0.698,1
39492,50.0,0.0722,0.557,183787.0,0.9009999999999999,0.0031100000000000004,0.14,-6.311,0.038,93.98,0.35700000000000004,1
38243,60.0,0.27,0.546,196907.0,0.838,1.24e-05,0.0841,-3.51,0.0319,151.914,0.7190000000000001,1
37979,58.0,0.267,0.406,320010.0,0.35100000000000003,0.000893,0.0967,-7.871,0.0311,118.633,0.24600000000000002,1
38585,48.0,0.0010400000000000001,0.507,182987.0,0.9590000000000001,0.0,0.147,-4.763,0.11800000000000001,165.136,0.436,1
37892,70.0,0.748,0.401,-1.0,0.527,0.00305,0.359,-15.632,0.0615,133.749,0.20800000000000002,1
37580,54.0,0.0523,0.6940000000000001,215307.0,0.951,0.0033799999999999,0.293,-5.4,0.0784,120.014,0.74,1
36424,75.0,0.0626,0.36,264067.0,0.505,9.22e-05,0.172,-9.129,0.026000000000000002,74.807,0.317,1
38912,56.0,0.0193,0.614,323600.0,0.677,0.518,0.10800000000000001,-8.317,0.0323,126.477,0.7170000000000001,1
39678,70.0,0.272,0.47,-1.0,0.809,0.00671,0.0491,-6.74,0.0495,151.836,0.49,1
39907,61.0,0.836,0.33,187040.0,0.214,0.0701,0.17800000000000002,-17.699,0.0311,147.795,0.275,1
36865,62.0,0.4479999999999999,0.504,-1.0,0.501,0.0,0.19,-11.899000000000001,0.0385,94.961,0.731,1
35013,55.0,0.266,0.7070000000000001,221626.0,0.6940000000000001,1.04e-06,0.28300000000000003,-5.381,0.0329,115.993,0.518,1
37899,65.0,0.195,0.606,172640.0,0.805,8.81e-06,0.109,-5.399,0.214,119.95296059529068,0.725,1
37852,68.0,0.00107,0.46,-1.0,0.7959999999999999,0.0,0.106,-4.501,0.0333,100.01100000000001,0.182,1
38669,54.0,0.000314,0.503,177240.0,0.741,0.574,0.44,-5.6720000000000015,0.0357,120.99799999999999,0.544,1
35149,65.0,0.5660000000000001,0.368,-1.0,0.575,0.0,0.1159999999999999,-5.1,0.0443,197.639,0.294,1
37109,54.0,0.0448,0.675,274253.0,0.527,2.65e-06,0.1009999999999999,-9.501,0.0263,113.881,0.66,1
38148,60.0,0.0553,0.568,246493.0,0.871,0.51,0.303,-3.4530000000000003,0.0308,119.99,0.374,1
35846,71.0,0.0087599999999999,0.5329999999999999,170813.0,0.905,0.578,0.0698,-5.27,0.0754,108.9,0.486,1
36133,51.0,0.0483,0.498,227400.0,0.68,0.0,0.1689999999999999,-5.34,0.0332,160.043,0.695,1
35156,53.0,0.973,0.107,345373.0,0.289,0.934,0.0812,-16.15,0.0337,77.78699999999999,0.0364,1
38596,54.0,0.929,0.1889999999999999,390328.0,0.195,0.807,0.0798,-19.454,0.0335,126.86200000000001,0.0389,1
36057,65.0,0.0521,0.8290000000000001,-1.0,0.8440000000000001,0.00148,0.171,-4.329,0.0966,130.04,0.762,1
36595,56.0,0.00227,0.56,218554.0,0.688,0.0,0.0596,-4.437,0.0559999999999999,76.997,0.611,1
38013,66.0,0.623,0.752,233280.0,0.5429999999999999,0.0706,0.107,-9.482999999999999,0.0398,126.001,0.282,1
37034,66.0,0.444,0.579,245640.0,0.605,0.0006450000000000001,0.11,-6.686,0.0328,121.79299999999999,0.74,1
38423,62.0,0.0090599999999999,0.508,225000.0,0.991,1.28e-05,0.316,-1.768,0.12300000000000001,95.524,0.295,1
36812,64.0,0.0766,0.397,327400.0,0.499,1.55e-06,0.111,-10.972000000000001,0.0685,171.067,0.36700000000000005,1
37701,61.0,0.0017399999999999,0.564,257347.0,0.941,6.42e-05,0.242,-4.787,0.051,112.008,0.542,1
38044,64.0,0.0125,0.522,245960.0,0.9229999999999999,0.017,0.0854,-4.56,0.0539,119.95296059529068,0.595,1
35477,49.0,0.0008210000000000001,0.3429999999999999,217440.0,0.89,0.0,0.0912,-5.7589999999999995,0.0655,100.061,0.525,1
38294,54.0,0.503,0.22,419400.0,0.44,0.862,0.12,-9.456,0.0352,79.095,0.13,1
39079,55.0,0.00394,0.507,207724.0,0.6629999999999999,0.0001889999999999,0.13,-9.163,0.139,94.884,0.327,1
38501,53.0,0.00824,0.502,211809.0,0.758,0.0,0.102,-5.035,0.0718,149.738,0.423,1
35284,67.0,0.000932,0.513,258920.0,0.877,0.0001629999999999,0.136,-3.7560000000000002,0.0292,145.91899999999998,0.389,1
36746,51.0,0.151,0.7659999999999999,291800.0,0.6809999999999999,8.68e-05,0.266,-6.919,0.0565,141.94,0.853,1
39629,56.0,0.654,0.529,-1.0,0.3429999999999999,5.9699999999999994e-05,0.121,-16.192,0.044000000000000004,153.466,0.6609999999999999,1
37891,57.0,0.58,0.518,-1.0,0.41700000000000004,0.0,0.0722,-13.267999999999999,0.0325,119.95296059529068,0.311,1
36946,53.0,0.775,0.435,-1.0,0.384,0.92,0.11900000000000001,-14.024000000000001,0.0289,159.092,0.171,1
35105,53.0,0.0038799999999999,0.615,280347.0,0.889,0.0,0.0947,-2.539,0.0371,131.96,0.659,1
37809,63.0,0.0915,0.546,205333.0,0.7859999999999999,8.669999999999999e-05,0.168,-5.06,0.0401,126.00299999999999,0.679,1
38575,68.0,0.083,0.503,-1.0,0.8240000000000001,0.0,0.21,-4.039,0.0524,161.981,0.4479999999999999,1
38689,57.0,0.405,0.584,199036.0,0.74,4.15e-06,0.569,-6.313,0.242,62.916000000000004,0.33,1
38666,68.0,0.0189,0.7170000000000001,205000.0,0.7959999999999999,8.94e-05,0.19,-3.677,0.0303,105.01700000000001,0.9420000000000001,1
35535,53.0,0.56,0.574,182267.0,0.563,9.39e-05,0.3229999999999999,-8.543,0.0292,134.083,0.67,1
36891,57.0,0.621,0.657,213958.0,0.49,0.81,0.106,-12.27,0.0393,119.95296059529068,0.53,1
35686,54.0,0.4539999999999999,0.385,130333.0,0.7909999999999999,0.0,0.0755,-2.647,0.0949,194.638,0.764,1
38799,53.0,0.00351,0.42200000000000004,205427.0,0.953,1.03e-06,0.575,-5.9270000000000005,0.12300000000000001,152.009,0.2,1
38949,55.0,0.0226,0.4479999999999999,224550.0,0.55,0.205,0.0425,-7.4270000000000005,0.026000000000000002,81.814,0.7090000000000001,1
39671,53.0,0.000252,0.276,266027.0,0.883,0.462,0.0973,-5.625,0.0446,164.05200000000002,0.1639999999999999,1
37023,65.0,0.218,0.552,125827.0,0.742,0.0,0.3389999999999999,-7.962999999999999,0.0454,138.591,0.7509999999999999,1
36101,65.0,0.096,0.643,248880.0,0.945,7.71e-06,0.495,-4.66,0.0779,120.723,0.526,1
35834,51.0,0.0424,0.512,206067.0,0.552,0.00213,0.111,-9.499,0.0355,143.977,0.21,1
37810,55.0,0.128,0.534,295467.0,0.6629999999999999,3.63e-05,0.431,-5.48,0.0286,141.525,0.573,1
38834,60.0,0.00792,0.306,287880.0,0.872,0.8,0.261,-7.313,0.05,167.946,0.648,1
39386,52.0,0.615,0.4039999999999999,-1.0,0.272,0.000907,0.13,-10.575,0.0445,126.18,0.11900000000000001,1
38896,53.0,0.174,0.6759999999999999,265933.0,0.379,0.0072,0.0619,-19.42,0.031,115.23700000000001,0.818,1
35769,61.0,0.0534,0.462,-1.0,0.628,0.00025,0.12,-5.659,0.0274,140.049,0.0981,1
37772,65.0,0.49200000000000005,0.7609999999999999,189387.0,0.5920000000000001,0.00626,0.61,-9.836,0.0586,123.095,0.332,1
39333,59.0,0.00758,0.64,227013.0,0.469,0.000453,0.0711,-8.718,0.0412,90.001,0.305,1
38300,54.0,0.8640000000000001,0.736,182027.0,0.297,1.49e-05,0.0609,-9.648,0.0349,119.95296059529068,0.18600000000000003,1
37199,65.0,0.0006309999999999,0.24600000000000002,212733.0,0.768,0.301,0.102,-7.48,0.0387,169.873,0.35,1
37362,62.0,0.354,0.715,-1.0,0.775,0.0,0.14400000000000002,-6.6129999999999995,0.0433,106.01299999999999,0.8029999999999999,1
38430,65.0,2.8699999999999996e-05,0.529,195653.0,0.92,0.00202,0.0582,-4.168,0.0649,111.132,0.4379999999999999,1
38984,56.0,0.000349,0.684,268760.0,0.9059999999999999,0.55,0.10300000000000001,-6.6610000000000005,0.0775,101.46,0.555,1
35916,50.0,0.0133,0.444,247373.0,0.609,0.0,0.0636,-11.19,0.0366,124.005,0.78,1
38150,65.0,0.000719,0.506,-1.0,0.932,0.0594,0.174,-6.11,0.11,99.929,0.5489999999999999,1
36004,63.0,0.35,0.691,198907.0,0.336,0.000684,0.11900000000000001,-10.843,0.0392,135.954,0.613,1
38658,61.0,0.35100000000000003,0.541,199490.0,0.483,0.4,0.111,-10.675,0.0514,80.73,0.6409999999999999,1
37488,57.0,6.68e-05,0.4479999999999999,242995.0,0.9740000000000001,0.000391,0.11900000000000001,-2.9189999999999996,0.12,137.96,0.2239999999999999,1
39081,51.0,0.27,0.648,248173.0,0.637,4.22e-06,0.0469,-10.138,0.0296,119.95296059529068,0.738,1
37375,69.0,0.45,0.643,250107.0,0.809,1.22e-06,0.154,-3.275,0.0279999999999999,112.677,0.499,1
39843,66.0,0.0304,0.579,231840.0,0.727,1.99e-05,0.172,-4.872,0.0332,170.593,0.885,1
35038,63.0,0.0285,0.599,180302.0,0.9309999999999999,0.0,0.102,-3.662,0.0517,111.012,0.7879999999999999,1
38794,62.0,0.0004559999999999,0.519,190707.0,0.892,0.000525,0.5720000000000001,-5.285,0.113,174.02700000000002,0.5589999999999999,1
