,Unnamed: 0,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score,grams_sugar_per_day
66,67,Croatia,79,118,139.0,81,24500,78.8,81,118.0
67,68,Dominican Republic,55,43,52.0,93,16400,73.5,79,95.3
68,69,Turkey,61,140,50.0,98,25000,79.5,77,87.3
69,70,Malaysia,97,36,137.0,27,29100,75.0,76,121.0
70,71,Belarus,33,131,37.0,103,18000,74.5,75,107.0
71,72,Greece,102,150,123.0,152,25700,81.3,74,80.3
72,73,Mongolia,10,112,119.0,38,12800,69.3,73,40.3
73,74,Nigeria,111,75,114.0,59,5300,65.2,71,29.4
74,75,Turkmenistan,8,83,,33,17600,70.3,69,24.6
75,76,Algeria,101,149,46.0,128,14000,78.1,68,78.2
76,77,Morocco,139,76,84.0,154,7770,74.4,67,109.0
77,78,Azerbaijan,104,101,22.0,146,16200,71.1,66,50.5
78,79,Lebanon,89,136,133.0,63,11700,78.1,65,123.0
79,80,Indonesia,94,48,129.0,2,12100,71.9,64,46.5
80,81,China,108,31,,133,17100,77.5,63,18.8
81,82,Vietnam,64,23,86.0,97,6970,74.7,62,27.4
82,83,Cameroon,129,90,120.0,91,3400,63.8,60,27.2
83,84,Bulgaria,18,115,147.0,112,20200,75.1,59,78.7
84,85,Ghana,132,91,117.0,52,4430,66.1,58,40.5
85,86,Nepal,87,67,65.0,46,2880,71.5,56,13.0
86,87,Jordan,88,88,,118,8350,79.6,55,128.0
87,88,Benin,153,103,75.0,116,2230,65.3,54,21.4
88,89,Gabon,95,119,103.0,143,16200,69.0,52,42.6
89,90,South Africa,63,85,102.0,89,12000,66.9,50,101.0
90,91,Albania,133,87,134.0,60,12700,78.5,49,131.0
91,92,Venezuela,49,145,110.0,139,9720,75.1,48,106.0
92,93,Cambodia,109,2,94.0,61,4080,70.4,47,51.5
93,94,Senegal,106,121,88.0,130,3460,68.6,45,50.0
94,95,Namibia,70,82,98.0,142,9700,67.2,43,55.4
95,96,Niger,140,111,51.0,135,954,63.2,42,14.5
96,97,Burkina Faso,116,127,47.0,125,1810,62.5,41,20.3
97,98,Armenia,117,123,93.0,129,9730,75.9,40,97.4
98,99,Iran,134,117,44.0,28,16100,77.8,39,79.8
99,100,Guinea,136,109,70.0,94,2420,61.6,38,27.2
100,101,Georgia,147,104,28.0,153,10700,73.2,37,93.1
101,102,Gambia,125,89,26.0,64,1570,66.4,36,72.2
102,103,Kenya,123,72,105.0,26,3160,66.7,35,43.7
103,104,Mauritania,99,151,67.0,148,3890,71.0,34,99.2
104,105,Mozambique,122,46,40.0,121,1170,59.9,33,30.7
105,106,Tunisia,121,143,101.0,144,11100,78.7,32,95.5
106,107,Bangladesh,126,27,36.0,107,4140,73.7,31,22.1
107,108,Iraq,124,130,66.0,73,15700,77.1,30,52.8
108,109,Mali,112,110,107.0,138,2100,62.9,28,28.1
109,110,Sierra Leone,135,116,112.0,79,1460,61.3,27,16.5
110,111,Sri Lanka,80,55,111.0,35,12100,77.8,26,73.4
111,112,Myanmar,96,29,24.0,1,6270,69.1,25,46.2
112,113,Chad,141,142,80.0,106,1740,60.6,24,29.1
113,114,Ukraine,56,141,143.0,66,8480,70.8,23,126.0
114,115,Ethiopia,119,106,53.0,99,1900,69.1,22,18.1
115,116,Swaziland,103,113,41.0,145,9560,61.8,21,95.3
116,117,Uganda,114,99,95.0,74,1870,66.6,20,32.4
117,118,Egypt,118,129,89.0,132,11400,71.0,19,78.0
118,119,Zambia,115,73,69.0,53,3700,64.0,18,28.1
119,120,Togo,149,120,72.0,131,1610,65.0,17,33.3
120,121,India,142,41,73.0,65,7230,69.5,16,64.2
121,122,Liberia,127,94,126.0,110,1140,65.2,15,15.5
122,123,Madagascar,128,146,116.0,136,1490,64.2,13,20.3
123,124,Lesotho,98,97,59.0,151,2920,56.1,12,45.5
124,125,Zimbabwe,110,96,63.0,141,2390,62.0,10,80.6
125,126,Haiti,146,152,48.0,20,1640,65.7,9,45.8
126,127,Botswana,105,60,54.0,150,16800,69.8,8,85.0
127,128,Malawi,150,65,64.0,109,1180,64.2,6,22.6
128,129,Yemen,100,147,83.0,155,2340,68.1,5,77.9
129,130,Rwanda,144,21,2.0,90,2110,69.1,4,14.1
130,131,Tanzania,131,78,34.0,49,2980,67.7,3,28.0
131,132,Afghanistan,151,155,136.0,137,1760,64.1,2,24.5
132,133,Central African Republic,155,133,122.0,113,794,52.9,1,22.4
